Kentucky First Federal Bancorp PE Ratio Historical Data,Kentucky First Federal Bancorp PE Ratio Historical Data,Kentucky First Federal Bancorp PE Ratio Historical Data,Kentucky First Federal Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.03,,0.0
2024-12-31,2.98,$-0.14,0.0
2024-09-30,2.73,$-0.19,0.0
2024-06-30,3.16,$-0.21,0.0
2024-03-31,3.82,$-0.08,0.0
2023-12-31,4.43,$-0.05,0.0
2023-09-30,4.85,$0.04,121.28
2023-06-30,5.98,$0.11,54.34
2023-03-31,5.92,$0.13,45.53
2022-12-31,6.21,$0.15,41.42
2022-09-30,6.62,$0.17,38.95
2022-06-30,7.24,$0.19,38.08
2022-03-31,6.59,$0.25,26.37
2021-12-31,6.65,$0.27,24.62
2021-09-30,6.22,$0.25,24.87
2021-06-30,6.32,$0.22,28.72
2021-03-31,5.71,$-1.47,0.0
2020-12-31,5.27,$-1.50,0.0
2020-09-30,5.14,$-1.51,0.0
2020-06-30,5.45,$-1.52,0.0
2020-03-31,4.76,$0.13,36.63
2019-12-31,6.07,$0.12,50.59
2019-09-30,5.8,$0.11,52.71
2019-06-30,5.99,$0.10,59.92
2019-03-31,5.65,$0.06,94.2
2018-12-31,5.14,$0.06,85.66
2018-09-30,5.87,$0.15,39.16
2018-06-30,6.13,$0.16,38.33
2018-03-31,6.35,$0.18,35.28
2017-12-31,6.35,$0.18,35.28
2017-09-30,6.88,$0.10,68.82
2017-06-30,6.56,$0.11,59.67
2017-03-31,6.85,$0.14,48.89
2016-12-31,6.12,$0.14,43.7
2016-09-30,5.65,$0.16,35.3
2016-06-30,5.45,$0.18,30.26
2016-03-31,5.75,$0.20,28.76
2015-12-31,6.07,$0.24,25.3
2015-09-30,5.47,$0.26,21.02
2015-06-30,5.32,$0.25,21.3
2015-03-31,5.17,$0.23,22.47
2014-12-31,5.07,$0.23,22.03
2014-09-30,4.93,$0.23,21.43
2014-06-30,5.33,$0.23,23.16
2014-03-31,5.2,$0.27,19.26
2013-12-31,4.73,$0.29,16.32
2013-09-30,4.79,$0.34,14.08
2013-06-30,4.65,$0.36,12.93
2013-03-31,4.56,$0.32,14.26
2012-12-31,4.2,$0.31,13.54
2012-09-30,4.21,$0.24,17.53
2012-06-30,4.66,$0.23,20.28
2012-03-31,4.83,$0.25,19.31
2011-12-31,4.93,$0.24,20.54
2011-09-30,4.09,$0.25,16.35
2011-06-30,4.71,$0.23,20.47
2011-03-31,4.4,$0.19,23.14
2010-12-31,4.73,$0.17,27.82
2010-09-30,4.87,$0.14,34.75
2010-06-30,4.51,$0.05,90.29
2010-03-31,5.2,$-0.00,0.0
2009-12-31,5.4,$0.01,0.0
