Aehr Test Systems PE Ratio Historical Data,Aehr Test Systems PE Ratio Historical Data,Aehr Test Systems PE Ratio Historical Data,Aehr Test Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.96,,11.95
2024-11-30,11.89,$0.75,15.85
2024-08-31,15.21,$0.98,15.52
2024-05-31,11.51,$1.12,10.28
2024-02-29,16.27,$0.52,31.29
2023-11-30,22.96,$0.71,32.34
2023-08-31,51.01,$0.64,79.7
2023-05-31,33.02,$0.50,66.04
2023-02-28,33.35,$0.49,68.06
2022-11-30,26.07,$0.43,60.63
2022-08-31,14.54,$0.33,44.06
2022-05-31,8.38,$0.34,24.65
2022-02-28,13.6,$0.16,85.0
2021-11-30,17.42,$0.05,348.4
2021-08-31,7.46,$-0.06,0.0
2021-05-31,2.25,$-0.09,0.0
2021-02-28,2.8,$-0.24,0.0
2020-11-30,1.65,$-0.20,0.0
2020-08-31,1.78,$-0.11,0.0
2020-05-31,1.65,$-0.13,0.0
2020-02-29,2.1,0,0.0
2019-11-30,1.89,$-0.15,0.0
2019-08-31,1.34,$-0.19,0.0
2019-05-31,1.75,$-0.24,0.0
2019-02-28,1.46,$-0.23,0.0
2018-11-30,1.88,$-0.08,0.0
2018-08-31,2.53,$-0.05,0.0
2018-05-31,2.6,$0.02,130.0
2018-02-28,2.29,$-0.03,0.0
2017-11-30,2.55,$-0.20,0.0
2017-08-31,3.36,$-0.29,0.0
2017-05-31,4.58,$-0.35,0.0
2017-02-28,5.24,$-0.54,0.0
2016-11-30,2.99,$-0.61,0.0
2016-08-31,2.42,$-0.60,0.0
2016-05-31,1.01,$-0.52,0.0
2016-02-29,1.19,$-0.44,0.0
2015-11-30,1.98,$-0.35,0.0
2015-08-31,2.31,$-0.45,0.0
2015-05-31,2.4,$-0.55,0.0
2015-02-28,2.64,$-0.38,0.0
2014-11-30,2.67,$-0.22,0.0
2014-08-31,2.54,$-0.03,0.0
2014-05-31,2.26,$0.03,75.35
2014-02-28,2.35,$-0.07,0.0
2013-11-30,2.83,$-0.25,0.0
2013-08-31,1.56,$-0.35,0.0
2013-05-31,1.44,$-0.36,0.0
2013-02-28,0.9,$-0.37,0.0
2012-11-30,0.9,$-0.36,0.0
2012-08-31,1.1,$-0.42,0.0
2012-05-31,1.27,$-0.38,0.0
2012-02-29,0.8,$-0.31,0.0
2011-11-30,0.69,$-0.27,0.0
2011-08-31,1.12,$-0.21,0.0
2011-05-31,1.48,$-0.39,0.0
2011-02-28,1.79,$-0.46,0.0
2010-11-30,0.93,$-0.17,0.0
2010-08-31,1.2,$-0.33,0.0
2010-05-31,2.34,$-0.05,0.0
2010-02-28,2.55,$-0.44,0.0
2009-11-30,1.5,$-3.90,0.0
