Medical Properties Trust PE Ratio Historical Data,Medical Properties Trust PE Ratio Historical Data,Medical Properties Trust PE Ratio Historical Data,Medical Properties Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.94,,0.0
2024-12-31,3.95,$-3.80,0.0
2024-09-30,5.74,$-4.22,0.0
2024-06-30,4.16,$-2.69,0.0
2024-03-31,4.26,$-2.22,0.0
2023-12-31,4.45,$-0.94,0.0
2023-09-30,4.78,$-0.07,0.0
2023-06-30,7.94,$0.11,72.22
2023-03-31,6.83,$0.50,13.67
2022-12-31,8.94,$1.50,5.96
2022-09-30,9.29,$2.08,4.47
2022-06-30,11.72,$2.00,5.86
2022-03-31,15.92,$1.87,8.51
2021-12-31,17.54,$1.10,15.94
2021-09-30,14.71,$0.96,15.32
2021-06-30,14.53,$0.92,15.79
2021-03-31,15.18,$0.94,16.15
2020-12-31,15.35,$0.81,18.95
2020-09-30,12.26,$0.87,14.09
2020-06-30,12.88,$0.82,15.71
2020-03-31,11.69,$0.81,14.43
2019-12-31,14.07,$0.86,16.36
2019-09-30,12.88,$0.81,15.9
2019-06-30,11.33,$2.61,4.34
2019-03-31,11.85,$2.71,4.37
2018-12-31,10.16,$2.76,3.68
2018-09-30,9.28,$2.74,3.39
2018-06-30,8.59,$0.95,9.05
2018-03-31,7.81,$0.86,9.09
2017-12-31,8.13,$0.82,9.91
2017-09-30,7.61,$0.76,10.01
2017-06-30,7.32,$0.83,8.82
2017-03-31,7.2,$0.84,8.58
2016-12-31,6.74,$0.87,7.75
2016-09-30,7.94,$0.98,8.1
2016-06-30,8.04,$0.80,10.06
2016-03-31,6.76,$0.69,9.8
2015-12-31,5.89,$0.62,9.5
2015-09-30,5.55,$0.46,12.06
2015-06-30,6.45,$0.52,12.4
2015-03-31,7.13,$0.41,17.39
2014-12-31,6.56,$0.28,23.43
2014-09-30,5.75,$0.31,18.55
2014-06-30,6.11,$0.31,19.71
2014-03-31,5.81,$0.49,11.86
2013-12-31,5.46,$0.63,8.67
2013-09-30,5.35,$0.73,7.33
2013-06-30,6.2,$0.80,7.75
2013-03-31,6.85,$0.76,9.01
2012-12-31,5.04,$0.67,7.52
2012-09-30,4.33,$0.57,7.59
2012-06-30,3.91,$0.34,11.5
2012-03-31,3.69,$0.22,16.76
2011-12-31,3.84,$0.22,17.46
2011-09-30,3.41,$0.21,16.24
2011-06-30,4.3,$0.29,14.82
2011-03-31,4.25,$0.33,12.88
2010-12-31,3.91,$0.20,19.54
2010-09-30,3.59,$0.19,18.89
2010-06-30,3.28,$0.24,13.65
2010-03-31,3.56,$0.27,13.2
2009-12-31,3.34,$0.45,7.42
