Nuvve Holding PE Ratio Historical Data,Nuvve Holding PE Ratio Historical Data,Nuvve Holding PE Ratio Historical Data,Nuvve Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.44,,0.0
2024-09-30,5.33,$-95.87,0.0
2024-06-30,0.8,$-201.40,0.0
2024-03-31,1.1,$-314.70,0.0
2023-12-31,0.12,$-425.80,0.0
2023-09-30,0.34,$-488.00,0.0
2023-06-30,0.6,$-532.00,0.0
2023-03-31,0.7,"$-1,492.00",0.0
2022-12-31,0.67,"$-1,560.00",0.0
2022-09-30,1.4,"$-1,616.00",0.0
2022-06-30,4.68,"$-1,612.00",0.0
2022-03-31,7.89,$-664.00,0.0
2021-12-31,13.32,$-676.00,0.0
2021-09-30,10.8,$-532.00,0.0
2021-06-30,13.82,$-400.00,0.0
2021-03-31,10.1,$-444.00,0.0
