Alpha Pro Tech PE Ratio Historical Data,Alpha Pro Tech PE Ratio Historical Data,Alpha Pro Tech PE Ratio Historical Data,Alpha Pro Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.08,,14.11
2024-12-31,5.29,$0.36,14.69
2024-09-30,5.7,$0.37,15.41
2024-06-30,5.5,$0.41,13.41
2024-03-31,6.24,$0.36,17.33
2023-12-31,5.29,$0.36,14.69
2023-09-30,4.34,$0.32,13.56
2023-06-30,3.98,$0.24,16.58
2023-03-31,4.16,$0.19,21.89
2022-12-31,4.02,$0.26,15.46
2022-09-30,4.05,$0.26,15.58
2022-06-30,4.46,$0.28,15.93
2022-03-31,4.2,$0.35,12.0
2021-12-31,5.97,$0.50,11.94
2021-09-30,6.73,$0.98,6.87
2021-06-30,8.57,$1.50,5.71
2021-03-31,9.76,$1.84,5.3
2020-12-31,11.15,$1.96,5.69
2020-09-30,14.78,$1.46,10.12
2020-06-30,17.7,$0.91,19.45
2020-03-31,12.08,$0.53,22.79
2019-12-31,3.43,$0.23,14.91
2019-09-30,3.61,$0.25,14.44
2019-06-30,3.41,$0.33,10.33
2019-03-31,3.6,$0.32,11.25
2018-12-31,3.71,$0.27,13.74
2018-09-30,3.55,$0.23,15.43
2018-06-30,3.35,$0.19,17.63
2018-03-31,3.35,$0.17,19.71
2017-12-31,4.0,$0.17,23.53
2017-09-30,3.85,$0.21,18.33
2017-06-30,2.95,$0.20,14.75
2017-03-31,2.75,$0.20,13.75
2016-12-31,3.5,$0.19,18.42
2016-09-30,3.6,$0.16,22.5
2016-06-30,2.27,$0.12,18.92
2016-03-31,1.82,$0.09,20.22
2015-12-31,1.75,$0.07,25.0
2015-09-30,1.99,$0.08,24.88
2015-06-30,2.24,$0.11,20.36
2015-03-31,2.27,$0.14,16.21
2014-12-31,2.57,$0.14,18.36
2014-09-30,3.25,$0.15,21.67
2014-06-30,2.13,$0.15,14.2
2014-03-31,2.24,$0.12,18.67
2013-12-31,2.15,$0.11,19.55
2013-09-30,1.51,$0.08,18.88
2013-06-30,1.6,$0.05,32.0
2013-03-31,1.51,$0.05,30.2
2012-12-31,1.43,$0.05,28.6
2012-09-30,1.45,$0.06,24.18
2012-06-30,1.34,$0.06,22.35
2012-03-31,1.53,$0.05,30.6
2011-12-31,1.2,$0.05,24.0
2011-09-30,1.15,$0.03,38.33
2011-06-30,1.17,$0.02,58.5
2011-03-31,1.38,$0.03,45.98
2010-12-31,1.78,$0.06,29.67
2010-09-30,1.6,$0.21,7.62
2010-06-30,1.85,$0.32,5.78
2010-03-31,2.35,$0.40,5.88
2009-12-31,4.52,$0.39,11.59
