Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,234.86,,36.19
2024-12-31,201.18,$6.49,31.0
2024-09-30,200.26,$6.25,32.04
2024-06-30,193.24,$5.97,32.37
2024-03-31,189.82,$5.70,33.3
2023-12-31,163.52,$5.47,29.89
2023-09-30,140.85,$5.17,27.24
2023-06-30,150.82,$4.97,30.35
2023-03-31,132.72,$4.79,27.71
2022-12-31,126.14,$4.69,26.9
2022-09-30,132.53,$4.58,28.94
2022-06-30,127.03,$4.36,29.13
2022-03-31,128.16,$4.22,30.37
2021-12-31,134.41,$4.04,33.27
2021-09-30,115.34,$3.80,30.35
2021-06-30,105.29,$3.51,30.0
2021-03-31,94.72,$3.19,29.69
2020-12-31,91.42,$3.03,30.17
2020-09-30,88.23,$3.19,27.66
2020-06-30,77.2,$3.31,23.32
2020-03-31,70.27,$3.38,20.79
2019-12-31,83.46,$3.33,25.06
2019-09-30,80.23,$3.35,23.95
2019-06-30,79.94,$3.23,24.75
2019-03-31,73.85,$3.16,23.37
2018-12-31,65.92,$3.16,20.86
2018-09-30,66.44,$4.22,15.75
2018-06-30,62.19,$4.07,15.28
2018-03-31,59.95,$3.96,15.14
2017-12-31,60.88,$3.79,16.06
2017-09-30,59.19,$2.36,25.08
2017-06-30,56.8,$1.95,29.13
2017-03-31,55.7,$1.87,29.79
2016-12-31,50.34,$1.77,28.44
2016-09-30,44.26,$1.71,25.89
2016-06-30,44.73,$2.07,21.61
2016-03-31,41.3,$2.09,19.76
2015-12-31,37.89,$2.13,17.79
2015-09-30,35.01,$1.78,19.67
2015-06-30,33.04,$1.69,19.55
2015-03-31,33.97,$1.65,20.59
2014-12-31,33.48,$1.53,21.88
2014-09-30,32.23,$2.04,15.8
2014-06-30,31.14,$1.99,15.65
2014-03-31,27.82,$1.64,16.97
2013-12-31,26.83,$1.61,16.67
2013-09-30,26.76,$1.31,20.42
2013-06-30,27.01,$1.26,21.44
2013-03-31,26.08,$1.51,17.27
2012-12-31,23.02,$1.55,14.85
2012-09-30,21.42,$1.71,12.52
2012-06-30,20.42,$1.81,11.28
2012-03-31,23.38,$1.53,15.28
2011-12-31,20.93,$1.56,13.42
2011-09-30,21.15,$1.43,14.79
2011-06-30,23.07,$1.26,18.31
2011-03-31,22.32,$1.56,14.31
2010-12-31,22.04,$1.32,16.7
2010-09-30,22.36,$1.03,21.7
2010-06-30,21.66,$1.00,21.66
2010-03-31,21.0,$1.17,17.95
2009-12-31,20.36,$1.30,15.66
