Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,166.46,,21.65
2024-12-31,150.86,$7.69,19.62
2024-09-30,154.48,$7.44,20.76
2024-06-30,135.47,$7.41,18.28
2024-03-31,130.99,$7.43,17.63
2023-12-31,134.97,$7.49,18.02
2023-09-30,118.6,$6.66,17.81
2023-06-30,136.11,$6.87,19.81
2023-03-31,136.32,$6.78,20.11
2022-12-31,150.06,$7.92,18.95
2022-09-30,117.07,$10.17,11.51
2022-06-30,126.27,$12.02,10.5
2022-03-31,129.32,$15.02,8.61
2021-12-31,162.75,$15.56,10.46
2021-09-30,136.09,$16.65,8.17
2021-06-30,123.03,$16.77,7.34
2021-03-31,119.07,$13.17,9.04
2020-12-31,110.07,$10.44,10.54
2020-09-30,105.24,$8.09,13.01
2020-06-30,104.25,$5.51,18.92
2020-03-31,72.94,$5.81,12.55
2019-12-31,96.52,$6.28,15.37
2019-09-30,96.25,$5.34,18.02
2019-06-30,91.08,$5.31,17.15
2019-03-31,79.98,$5.22,15.32
2018-12-31,73.6,$5.29,13.91
2018-09-30,94.92,$6.19,15.33
2018-06-30,96.27,$5.81,16.57
2018-03-31,87.38,$5.61,15.58
2017-12-31,85.42,$5.50,15.53
2017-09-30,80.83,$4.77,16.94
2017-06-30,95.55,$4.96,19.27
2017-03-31,84.02,$4.96,16.94
2016-12-31,78.25,$4.50,17.39
2016-09-30,72.06,$4.70,15.33
2016-06-30,68.66,$5.71,12.02
2016-03-31,59.93,$5.15,11.64
2015-12-31,59.33,$4.87,12.18
2015-09-30,50.96,$4.87,10.46
2015-06-30,59.8,$3.40,17.59
2015-03-31,63.05,$3.51,17.96
2014-12-31,54.76,$3.80,14.41
2014-09-30,49.28,$3.48,14.16
2014-06-30,47.4,$5.28,8.98
2014-03-31,46.52,$5.43,8.57
2013-12-31,42.76,$5.57,7.68
2013-09-30,49.35,$4.94,9.99
2013-06-30,48.19,$3.27,14.74
2013-03-31,44.65,$3.31,13.49
2012-12-31,45.61,$3.45,13.22
2012-09-30,49.65,$4.30,11.55
2012-06-30,46.76,$4.36,10.72
2012-03-31,47.6,$4.27,11.15
2011-12-31,44.94,$4.14,10.85
2011-09-30,38.12,$3.91,9.75
2011-06-30,45.64,$3.97,11.5
2011-03-31,44.42,$4.02,11.05
2010-12-31,41.46,$4.05,10.24
2010-09-30,38.77,$4.06,9.55
2010-06-30,38.08,$3.95,9.64
2010-03-31,44.53,$3.89,11.45
2009-12-31,46.05,$3.88,11.87
