Unum Group PE Ratio Historical Data,Unum Group PE Ratio Historical Data,Unum Group PE Ratio Historical Data,Unum Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.04,,8.56
2024-12-31,73.03,$9.47,7.71
2024-09-30,59.04,$9.24,6.39
2024-06-30,50.37,$6.80,7.41
2024-03-31,52.51,$6.73,7.8
2023-12-31,43.91,$6.49,6.77
2023-09-30,47.41,$6.19,7.66
2023-06-30,45.63,$7.21,6.33
2023-03-31,37.54,$7.06,5.32
2022-12-31,38.63,$6.51,5.93
2022-09-30,36.26,$5.90,6.15
2022-06-30,31.47,$5.46,5.76
2022-03-31,28.87,$4.52,6.39
2021-12-31,22.25,$4.02,5.54
2021-09-30,22.44,$3.90,5.75
2021-06-30,25.16,$3.43,7.34
2021-03-31,24.42,$3.84,6.36
2020-12-31,19.89,$3.88,5.13
2020-09-30,14.35,$4.66,3.08
2020-06-30,13.92,$4.69,2.97
2020-03-31,12.36,$4.72,2.62
2019-12-31,23.77,$5.24,4.54
2019-09-30,23.99,$4.95,4.85
2019-06-30,26.85,$2.49,10.78
2019-03-31,26.88,$2.45,10.97
2018-12-31,23.17,$2.37,9.78
2018-09-30,30.81,$2.41,12.78
2018-06-30,28.98,$4.83,6.0
2018-03-31,37.12,$4.61,8.05
2017-12-31,42.62,$4.38,9.73
2017-09-30,39.53,$4.26,9.28
2017-06-30,35.88,$4.15,8.65
2017-03-31,35.93,$4.08,8.81
2016-12-31,33.51,$3.96,8.46
2016-09-30,26.79,$3.82,7.01
2016-06-30,23.97,$3.64,6.59
2016-03-31,23.19,$3.54,6.55
2015-12-31,24.8,$3.50,7.09
2015-09-30,23.77,$1.46,16.28
2015-06-30,26.36,$1.50,17.57
2015-03-31,24.75,$1.54,16.07
2014-12-31,25.46,$1.58,16.11
2014-09-30,24.97,$3.53,7.07
2014-06-30,25.13,$3.44,7.31
2014-03-31,25.42,$3.32,7.66
2013-12-31,25.14,$3.23,7.78
2013-09-30,21.71,$3.24,6.7
2013-06-30,20.85,$3.29,6.34
2013-03-31,19.96,$3.23,6.18
2012-12-31,14.63,$3.17,4.62
2012-09-30,13.42,$0.87,15.43
2012-06-30,13.27,$0.73,18.17
2012-03-31,16.9,$0.72,23.47
2011-12-31,14.48,$0.71,20.4
2011-09-30,14.34,$2.87,5.0
2011-06-30,17.36,$2.86,6.07
2011-03-31,17.82,$2.74,6.5
2010-12-31,16.39,$2.71,6.05
2010-09-30,14.92,$2.60,5.74
2010-06-30,14.56,$2.58,5.64
2010-03-31,16.57,$2.75,6.02
2009-12-31,13.0,$2.56,5.08
