Silvercrest Asset Management Group PE Ratio Historical Data,Silvercrest Asset Management Group PE Ratio Historical Data,Silvercrest Asset Management Group PE Ratio Historical Data,Silvercrest Asset Management Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.65,,16.49
2024-12-31,18.39,$1.01,18.21
2024-09-30,17.06,$0.80,21.32
2024-06-30,15.24,$0.90,16.93
2024-03-31,15.26,$0.95,16.06
2023-12-31,16.22,$0.96,16.89
2023-09-30,14.97,$1.22,12.27
2023-06-30,18.89,$1.23,15.36
2023-03-31,16.81,$1.48,11.36
2022-12-31,17.18,$1.92,8.95
2022-09-30,14.82,$2.23,6.64
2022-06-30,14.73,$2.26,6.52
2022-03-31,18.19,$2.03,8.96
2021-12-31,15.13,$1.52,9.95
2021-09-30,13.59,$1.19,11.42
2021-06-30,12.98,$1.03,12.6
2021-03-31,12.28,$0.73,16.83
2020-12-31,11.74,$1.06,11.08
2020-09-30,8.75,$1.12,7.81
2020-06-30,10.48,$1.20,8.73
2020-03-31,7.69,$1.37,5.61
2019-12-31,10.04,$0.98,10.25
2019-09-30,9.71,$1.07,9.07
2019-06-30,10.95,$1.03,10.63
2019-03-31,10.99,$1.09,10.09
2018-12-31,10.1,$1.16,8.71
2018-09-30,10.47,$0.80,13.09
2018-06-30,12.21,$0.77,15.86
2018-03-31,11.29,$0.72,15.68
2017-12-31,11.81,$0.66,17.9
2017-09-30,10.62,$0.82,12.95
2017-06-30,9.73,$0.78,12.47
2017-03-31,9.53,$0.67,14.23
2016-12-31,9.34,$0.62,15.07
2016-09-30,8.36,$0.58,14.41
2016-06-30,8.53,$0.56,15.24
2016-03-31,8.79,$0.66,13.33
2015-12-31,8.12,$0.68,11.94
2015-09-30,7.31,$0.72,10.15
2015-06-30,9.41,$0.73,12.88
2015-03-31,9.44,$0.69,13.69
2014-12-31,10.28,$0.64,16.06
2014-09-30,8.87,$0.81,10.95
2014-06-30,11.12,$0.77,14.45
2014-03-31,11.74,$1.07,10.98
