Interparfums PE Ratio Historical Data,Interparfums PE Ratio Historical Data,Interparfums PE Ratio Historical Data,Interparfums PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.23,,23.62
2024-12-31,131.51,$5.09,25.84
2024-09-30,128.77,$4.66,27.63
2024-06-30,114.66,$4.39,26.12
2024-03-31,137.91,$4.34,31.78
2023-12-31,140.56,$4.75,29.59
2023-09-30,130.55,$4.95,26.37
2023-06-30,130.8,$4.59,28.5
2023-03-31,136.95,$4.36,31.41
2022-12-31,92.51,$3.78,24.47
2022-09-30,71.95,$3.22,22.34
2022-06-30,69.21,$3.12,22.18
2022-03-31,82.8,$2.97,27.88
2021-12-31,99.9,$2.74,36.46
2021-09-30,69.69,$3.25,21.44
2021-06-30,66.87,$2.57,26.02
2021-03-31,65.66,$1.76,37.3
2020-12-31,55.81,$1.21,46.12
2020-09-30,34.46,$1.00,34.46
2020-06-30,44.42,$1.14,38.97
2020-03-31,42.76,$1.63,26.23
2019-12-31,66.64,$1.91,34.89
2019-09-30,63.84,$1.91,33.42
2019-06-30,60.42,$1.85,32.66
2019-03-31,68.65,$1.81,37.93
2018-12-31,59.12,$1.72,34.37
2018-09-30,57.86,$1.60,36.16
2018-06-30,47.88,$1.55,30.89
2018-03-31,42.03,$1.42,29.6
2017-12-31,38.56,$1.34,28.77
2017-09-30,36.43,$1.33,27.39
2017-06-30,32.24,$1.30,24.8
2017-03-31,32.0,$1.27,25.2
2016-12-31,28.54,$1.08,26.43
2016-09-30,27.98,$1.01,27.71
2016-06-30,24.66,$0.95,25.95
2016-03-31,26.53,$0.90,29.48
2015-12-31,20.35,$0.98,20.77
2015-09-30,21.08,$1.03,20.47
2015-06-30,28.68,$0.93,30.84
2015-03-31,27.47,$0.99,27.74
2014-12-31,23.02,$0.96,23.98
2014-09-30,22.96,$0.72,31.89
2014-06-30,24.57,$0.61,40.27
2014-03-31,29.98,$0.53,56.57
2013-12-31,29.55,$1.27,23.27
2013-09-30,24.35,$4.64,5.25
2013-06-30,23.06,$4.72,4.89
2013-03-31,19.67,$4.80,4.1
2012-12-31,15.59,$4.28,3.64
2012-09-30,14.6,$1.17,12.48
2012-06-30,13.72,$1.18,11.63
2012-03-31,12.41,$1.14,10.88
2011-12-31,12.24,$1.04,11.77
2011-09-30,12.09,$1.11,10.89
2011-06-30,17.93,$1.05,17.07
2011-03-31,14.36,$1.07,13.42
2010-12-31,14.56,$0.88,16.54
2010-09-30,13.54,$0.86,15.74
2010-06-30,10.91,$0.82,13.31
2010-03-31,11.31,$0.78,14.51
2009-12-31,9.25,$0.74,12.5
