CN Energy Group PE Ratio Historical Data,CN Energy Group PE Ratio Historical Data,CN Energy Group PE Ratio Historical Data,CN Energy Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.17,,inf
2024-09-30,0.84,0.0,0.0
2024-03-31,1.06,0.0,0.0
2023-09-30,0.12,0.0,0.0
2023-03-31,0.21,0.0,0.0
