First Foundation PE Ratio Historical Data,First Foundation PE Ratio Historical Data,First Foundation PE Ratio Historical Data,First Foundation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.82,,0.0
2024-12-31,6.21,$-1.17,0.0
2024-09-30,6.24,$-1.12,0.0
2024-06-30,6.55,$0.15,43.67
2024-03-31,7.54,$-3.66,0.0
2023-12-31,9.65,$-3.52,0.0
2023-09-30,6.06,$-3.26,0.0
2023-06-30,3.95,$-2.79,0.0
2023-03-31,7.38,$1.56,4.73
2022-12-31,14.09,$1.96,7.19
2022-09-30,17.71,$2.16,8.2
2022-06-30,19.88,$2.48,8.02
2022-03-31,23.46,$2.47,9.5
2021-12-31,23.91,$2.42,9.88
2021-09-30,25.21,$2.41,10.46
2021-06-30,21.5,$2.27,9.47
2021-03-31,22.33,$2.09,10.68
2020-12-31,18.95,$1.88,10.08
2020-09-30,12.33,$1.72,7.17
2020-06-30,15.35,$1.42,10.81
2020-03-31,9.55,$1.30,7.35
2019-12-31,16.19,$1.26,12.85
2019-09-30,14.17,$1.23,11.52
2019-06-30,12.42,$1.17,10.62
2019-03-31,12.5,$1.01,12.37
2018-12-31,11.8,$0.99,11.92
2018-09-30,14.34,$0.74,19.37
2018-06-30,17.02,$0.68,25.02
2018-03-31,17.02,$0.84,20.26
2017-12-31,17.02,$0.79,21.54
2017-09-30,16.42,$0.92,17.85
2017-06-30,15.08,$0.94,16.04
2017-03-31,14.24,$0.76,18.73
2016-12-31,13.08,$0.70,18.82
2016-09-30,11.32,$0.69,16.41
2016-06-30,9.87,$0.51,19.54
2016-03-31,10.29,$0.58,17.75
2015-12-31,10.83,$0.63,17.32
2015-09-30,10.45,$0.63,16.72
