Pinnacle Financial Partners PE Ratio Historical Data,Pinnacle Financial Partners PE Ratio Historical Data,Pinnacle Financial Partners PE Ratio Historical Data,Pinnacle Financial Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.53,,17.65
2024-12-31,114.39,$5.98,19.13
2024-09-30,97.76,$5.26,18.59
2024-06-30,79.67,$5.09,15.65
2024-03-31,85.25,$6.99,12.2
2023-12-31,86.35,$7.18,12.03
2023-09-30,66.16,$7.75,8.54
2023-06-30,55.74,$7.97,6.99
2023-03-31,54.01,$7.29,7.41
2022-12-31,71.68,$7.18,9.98
2022-09-30,78.99,$7.13,11.08
2022-06-30,70.23,$6.97,10.08
2022-03-31,89.18,$6.80,13.12
2021-12-31,92.29,$6.76,13.65
2021-09-30,90.75,$6.47,14.03
2021-06-30,85.0,$6.14,13.84
2021-03-31,85.18,$5.28,16.13
2020-12-31,61.72,$4.04,15.28
2020-09-30,33.99,$3.88,8.76
2020-06-30,39.94,$3.90,10.24
2020-03-31,35.57,$4.38,8.12
2019-12-31,60.48,$5.23,11.56
2019-09-30,53.49,$5.20,10.29
2019-06-30,54.02,$4.97,10.87
2019-03-31,51.27,$4.78,10.73
2018-12-31,43.08,$4.64,9.28
2018-09-30,56.04,$3.76,14.9
2018-06-30,57.03,$3.38,16.87
2018-03-31,59.55,$3.06,19.46
2017-12-31,61.36,$2.80,21.92
2017-09-30,61.84,$3.23,19.14
2017-06-30,57.88,$3.11,18.61
2017-03-31,61.11,$3.04,20.1
2016-12-31,63.59,$2.90,21.93
2016-09-30,49.49,$2.77,17.87
2016-06-30,44.58,$2.68,16.63
2016-03-31,44.64,$2.59,17.24
2015-12-31,46.6,$2.53,18.42
2015-09-30,44.73,$2.41,18.56
2015-06-30,49.1,$2.31,21.26
2015-03-31,40.06,$2.16,18.54
2014-12-31,35.51,$2.01,17.67
2014-09-30,32.35,$1.92,16.85
2014-06-30,35.3,$1.82,19.4
2014-03-31,33.45,$1.75,19.11
2013-12-31,28.95,$1.67,17.33
2013-09-30,26.46,$1.57,16.86
2013-06-30,22.82,$1.48,15.42
2013-03-31,20.74,$1.29,16.08
2012-12-31,16.72,$1.11,15.07
2012-09-30,17.15,$0.94,18.25
2012-06-30,17.32,$1.33,13.02
2012-03-31,16.29,$1.24,13.14
2011-12-31,14.34,$1.09,13.15
2011-09-30,9.71,$0.99,9.81
2011-06-30,13.81,$0.29,47.63
2011-03-31,14.68,$-0.70,0.0
2010-12-31,12.06,$-0.92,0.0
2010-09-30,8.16,$-1.11,0.0
2010-06-30,11.41,$-1.28,0.0
2010-03-31,13.41,$-1.76,0.0
2009-12-31,12.62,$-1.57,0.0
