Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,294.12,,12.95
2024-12-31,276.3,$22.72,12.16
2024-09-30,287.44,$24.42,11.77
2024-06-30,253.44,$23.67,10.71
2024-03-31,256.57,$22.53,11.39
2023-12-31,223.02,$21.83,10.22
2023-09-30,204.64,$16.93,12.09
2023-06-30,188.52,$13.92,13.54
2023-03-31,189.25,$12.46,15.19
2022-12-31,214.08,$12.52,17.1
2022-09-30,175.82,$14.34,12.26
2022-06-30,189.21,$16.58,11.41
2022-03-31,204.98,$18.78,10.91
2021-12-31,184.55,$19.26,9.58
2021-09-30,164.94,$19.65,8.39
2021-06-30,150.46,$18.10,8.31
2021-03-31,148.79,$12.31,12.09
2020-12-31,144.31,$7.79,18.53
2020-09-30,108.32,$5.02,21.58
2020-06-30,117.33,$4.77,24.6
2020-03-31,102.88,$8.00,12.86
2019-12-31,142.3,$9.70,14.67
2019-09-30,146.87,$7.89,18.61
2019-06-30,133.36,$8.15,16.36
2019-03-31,126.2,$8.41,15.01
2018-12-31,115.76,$8.46,13.68
2018-09-30,119.06,$10.97,10.85
2018-06-30,112.57,$8.18,13.76
2018-03-31,120.51,$8.19,14.71
2017-12-31,128.1,$8.20,15.62
2017-09-30,124.36,$8.34,14.91
2017-06-30,126.2,$11.37,11.1
2017-03-31,117.7,$10.14,11.61
2016-12-31,113.56,$8.81,12.89
2016-09-30,107.43,$7.48,14.36
2016-06-30,111.15,$6.22,17.87
2016-03-31,100.76,$7.55,13.35
2015-12-31,98.27,$8.62,11.4
2015-09-30,86.47,$8.20,10.55
2015-06-30,84.47,$8.90,9.49
2015-03-31,92.03,$8.31,11.07
2014-12-31,94.27,$8.40,11.22
2014-09-30,85.56,$9.64,8.88
2014-06-30,83.56,$9.98,8.37
2014-03-31,79.83,$10.29,7.76
2013-12-31,82.89,$10.92,7.59
2013-09-30,74.58,$10.24,7.28
2013-06-30,70.24,$9.44,7.44
2013-03-31,69.49,$7.81,8.9
2012-12-31,61.99,$7.88,7.87
2012-09-30,58.37,$7.86,7.43
2012-06-30,56.48,$5.91,9.56
2012-03-31,55.78,$6.72,8.3
2011-12-31,52.74,$4.64,11.37
2011-09-30,45.58,$5.36,8.5
2011-06-30,49.22,$7.42,6.63
2011-03-31,48.12,$7.63,6.31
2010-12-31,46.06,$9.09,5.07
2010-09-30,42.87,$8.98,4.77
2010-06-30,37.44,$8.47,4.42
2010-03-31,38.03,$8.07,4.71
2009-12-31,36.44,$7.54,4.83
