Atlanta Braves Holdings PE Ratio Historical Data,Atlanta Braves Holdings PE Ratio Historical Data,Atlanta Braves Holdings PE Ratio Historical Data,Atlanta Braves Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.85,,0.0
2024-12-31,38.26,$-0.21,0.0
2024-09-30,39.8,$-0.73,0.0
2024-06-30,39.44,$-0.99,0.0
