Stabilis Solutions PE Ratio Historical Data,Stabilis Solutions PE Ratio Historical Data,Stabilis Solutions PE Ratio Historical Data,Stabilis Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.06,,21.08
2024-12-31,5.35,$0.24,22.29
2024-09-30,4.74,$0.21,22.57
2024-06-30,3.85,$0.15,25.67
2024-03-31,4.21,$0.03,140.32
2023-12-31,4.15,$0.01,415.0
2023-09-30,4.25,$-0.09,0.0
2023-06-30,5.03,$-0.09,0.0
2023-03-31,3.65,$-0.09,0.0
2022-12-31,5.32,$-0.17,0.0
2022-09-30,7.74,$-0.28,0.0
2022-06-30,4.04,$-0.53,0.0
2022-03-31,5.0,$-0.47,0.0
2021-12-31,4.23,$-0.44,0.0
2021-09-30,7.0,$-0.32,0.0
2021-06-30,9.95,$-0.19,0.0
2021-03-31,6.23,$-0.34,0.0
2020-12-31,6.23,$-0.41,0.0
2020-09-30,6.23,$-0.43,0.0
2020-06-30,6.23,$-0.52,0.0
2020-03-31,6.23,$-0.40,0.0
2019-12-31,6.23,$-0.82,0.0
2019-09-30,6.5,$-0.79,0.0
2019-06-30,5.6,$1.99,2.81
2019-03-31,6.82,$0.24,28.42
2018-12-31,6.96,$-2.08,0.0
2018-09-30,5.64,$0.00,0.0
2018-06-30,10.0,$-3.60,0.0
2018-03-31,8.8,$-2.80,0.0
2017-12-31,12.0,$-2.48,0.0
2017-09-30,12.77,$-6.24,0.0
2017-06-30,14.16,$-7.84,0.0
2017-03-31,17.2,$-6.72,0.0
2016-12-31,12.4,$-7.12,0.0
2016-09-30,19.2,$-9.04,0.0
2016-06-30,21.2,$-6.32,0.0
2016-03-31,14.48,$-5.92,0.0
2015-12-31,16.8,$-2.88,0.0
2015-09-30,20.8,$-1.28,0.0
2015-06-30,40.8,$-3.44,0.0
2015-03-31,33.68,$-5.28,0.0
2014-12-31,44.24,$-4.96,0.0
2014-09-30,59.28,$-2.48,0.0
2014-06-30,54.4,$0.40,136.0
2014-03-31,54.32,$2.72,19.97
2013-12-31,79.84,$3.92,20.37
2013-09-30,56.72,$3.92,14.47
2013-06-30,57.04,$3.60,15.84
2013-03-31,41.76,$3.36,12.43
2012-12-31,40.32,$2.00,20.16
2012-09-30,37.92,$-3.76,0.0
2012-06-30,34.0,$-3.92,0.0
2012-03-31,39.84,$-5.36,0.0
2011-12-31,40.62,$-6.00,0.0
2011-09-30,29.6,$-0.56,0.0
2011-06-30,27.76,$-1.20,0.0
2011-03-31,21.84,$-1.60,0.0
2010-12-31,17.84,$-1.68,0.0
2010-09-30,18.56,$-1.68,0.0
2010-06-30,16.72,$-1.20,0.0
2010-03-31,22.16,$-0.40,0.0
2009-12-31,18.08,$0.64,28.25
