Lumos Pharma PE Ratio Historical Data,Lumos Pharma PE Ratio Historical Data,Lumos Pharma PE Ratio Historical Data,Lumos Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,4.33,,0.0
2024-06-30,2.32,$-4.43,0.0
2024-03-31,2.82,$-4.59,0.0
2023-12-31,3.18,$-4.19,0.0
2023-09-30,3.3,$-4.00,0.0
2023-06-30,3.3,$-3.82,0.0
2023-03-31,3.31,$-3.67,0.0
2022-12-31,3.61,$-3.70,0.0
2022-09-30,8.85,$-3.40,0.0
2022-06-30,7.7,$-3.44,0.0
2022-03-31,9.4,$-3.54,0.0
2021-12-31,6.93,$-3.66,0.0
2021-09-30,9.51,$-3.29,0.0
2021-06-30,10.0,$-2.18,0.0
2021-03-31,11.7,$-1.79,0.0
2020-12-31,35.71,$-0.89,0.0
2020-09-30,13.82,$-2.56,0.0
2020-06-30,16.49,$-6.28,0.0
2020-03-31,8.5,$-8.06,0.0
2019-12-31,22.77,$-10.44,0.0
2019-09-30,14.31,$-10.26,0.0
2019-06-30,13.32,$-10.98,0.0
2018-12-31,13.68,$-12.96,0.0
2018-09-30,21.51,$-13.77,0.0
2018-06-30,42.84,$-18.18,0.0
2018-03-31,65.25,$-19.08,0.0
2017-12-31,72.99,$-21.15,0.0
2017-09-30,91.62,$-21.96,0.0
2017-06-30,66.15,$-20.61,0.0
2017-03-31,216.9,$-25.56,0.0
2016-12-31,92.52,$-26.46,0.0
2016-09-30,135.18,$-29.07,0.0
2016-06-30,101.34,$-29.16,0.0
2016-03-31,163.8,$-23.49,0.0
2015-12-31,327.51,$-12.96,0.0
2015-09-30,322.56,$30.24,10.67
2015-06-30,398.43,$33.39,11.93
2015-03-31,492.39,$34.83,14.14
2014-12-31,357.75,$28.71,12.46
2014-09-30,192.78,$-10.53,0.0
2014-06-30,238.95,$-11.61,0.0
2014-03-31,255.6,$-11.16,0.0
2013-12-31,198.09,$-11.16,0.0
2013-09-30,169.02,$-11.07,0.0
2013-06-30,177.48,$-10.71,0.0
2013-03-31,110.43,$-10.98,0.0
2012-12-31,112.5,$-10.08,0.0
2012-09-30,146.07,$-11.34,0.0
2012-06-30,134.82,$-11.25,0.0
