MPLX LP PE Ratio Historical Data,MPLX LP PE Ratio Historical Data,MPLX LP PE Ratio Historical Data,MPLX LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,54.07,,12.84
2024-12-31,47.86,$4.21,11.37
2024-09-30,43.55,$4.24,10.27
2024-06-30,40.87,$4.12,9.92
2024-03-31,39.07,$3.88,10.07
2023-12-31,33.76,$3.81,8.86
2023-09-30,31.94,$3.49,9.15
2023-06-30,29.81,$3.96,7.53
2023-03-31,29.58,$3.88,7.62
2022-12-31,27.57,$3.75,7.35
2022-09-30,24.63,$3.75,6.57
2022-06-30,23.38,$3.13,7.47
2022-03-31,26.05,$2.96,8.8
2021-12-31,22.75,$2.86,7.95
2021-09-30,21.01,$2.71,7.75
2021-06-30,21.32,$2.58,8.26
2021-03-31,18.02,$2.50,7.21
2020-12-31,14.79,$-0.78,0.0
2020-09-30,10.36,$-1.99,0.0
2020-06-30,10.97,$-1.99,0.0
2020-03-31,7.08,$-2.02,0.0
2019-12-31,15.06,$1.19,12.66
2019-09-30,16.15,$2.29,7.05
2019-06-30,18.14,$2.30,7.89
2019-03-31,18.53,$2.30,8.06
2018-12-31,16.77,$2.30,7.29
2018-09-30,18.83,$2.09,9.01
2018-06-30,18.23,$1.76,10.36
2018-03-31,17.33,$1.47,11.79
2017-12-31,18.3,$1.05,17.43
2017-09-30,17.76,$0.91,19.51
2017-06-30,16.68,$0.83,20.09
2017-03-31,17.73,$0.46,38.54
2016-12-31,16.78,$-0.06,0.0
2016-09-30,16.16,$-0.37,0.0
2016-06-30,15.8,$-0.17,0.0
2016-03-31,13.73,$0.44,31.21
2015-12-31,17.88,$1.23,14.54
2015-09-30,17.17,$1.75,9.81
2015-06-30,31.82,$1.71,18.61
2015-03-31,32.48,$1.58,20.56
2014-12-31,32.43,$1.53,21.2
2014-09-30,25.87,$1.42,18.22
2014-06-30,28.14,$1.34,21.0
2014-03-31,21.25,$1.23,17.27
2013-12-31,19.19,$1.08,17.77
2013-09-30,15.57,$0.99,15.73
