Veritone PE Ratio Historical Data,Veritone PE Ratio Historical Data,Veritone PE Ratio Historical Data,Veritone PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.71,,0.0
2024-09-30,3.59,$-2.16,0.0
2024-06-30,2.26,$-2.16,0.0
2024-03-31,5.26,$-2.20,0.0
2023-12-31,1.81,$-2.15,0.0
2023-09-30,2.58,$-2.03,0.0
2023-06-30,3.92,$-1.59,0.0
2023-03-31,5.83,$-1.05,0.0
2022-12-31,5.3,$-1.23,0.0
2022-09-30,5.63,$-1.47,0.0
2022-06-30,6.53,$-1.68,0.0
2022-03-31,18.28,$-1.98,0.0
2021-12-31,22.48,$-2.13,0.0
2021-09-30,23.89,$-2.11,0.0
2021-06-30,19.71,$-2.17,0.0
2021-03-31,23.98,$-2.21,0.0
2020-12-31,28.45,$-1.73,0.0
2020-09-30,9.16,$-1.91,0.0
2020-06-30,14.86,$-2.15,0.0
2020-03-31,2.33,$-2.52,0.0
2019-12-31,2.49,$-2.89,0.0
2019-09-30,3.57,$-3.20,0.0
2019-06-30,8.36,$-3.42,0.0
2019-03-31,5.2,$-3.50,0.0
2018-12-31,3.8,$-3.47,0.0
2018-09-30,10.43,$-3.38,0.0
2018-06-30,16.82,$-3.83,0.0
2018-03-31,13.92,$-5.89,0.0
