Central Securities PE Ratio Historical Data,Central Securities PE Ratio Historical Data,Central Securities PE Ratio Historical Data,Central Securities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.38,,38.79
2016-06-30,12.09,$1.17,10.33
2016-03-31,11.67,$26.96,0.43
2015-06-30,11.89,$26.60,0.45
2013-06-30,9.24,$26.79,0.34
2013-03-31,9.01,$25.82,0.35
2011-06-30,9.51,0,0.0
2011-03-31,9.26,0,0.0
2010-12-31,8.68,0,0.0
2010-09-30,7.6,0,0.0
2010-06-30,7.02,0,0.0
2010-03-31,7.48,0,0.0
2009-12-31,6.8,0,0.0
