Chemours PE Ratio Historical Data,Chemours PE Ratio Historical Data,Chemours PE Ratio Historical Data,Chemours PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.67,,25.74
2024-12-31,16.9,$0.57,29.65
2024-09-30,20.05,$0.50,40.11
2024-06-30,21.98,$0.81,27.14
2024-03-31,25.36,$-2.17,0.0
2023-12-31,30.2,$-1.55,0.0
2023-09-30,26.61,$-2.07,0.0
2023-06-30,34.74,$-0.68,0.0
2023-03-31,27.95,$3.10,9.02
2022-12-31,28.38,$3.57,7.95
2022-09-30,22.67,$5.61,4.04
2022-06-30,29.25,$5.36,5.46
2022-03-31,28.58,$4.49,6.36
2021-12-31,30.19,$3.63,8.32
2021-09-30,25.94,$2.34,11.09
2021-06-30,30.84,$1.53,20.16
2021-03-31,24.56,$1.29,19.04
2020-12-31,21.58,$1.33,16.23
2020-09-30,18.0,$-0.72,0.0
2020-06-30,13.06,$-0.72,0.0
2020-03-31,7.39,$-0.30,0.0
2019-12-31,14.83,$-0.36,0.0
2019-09-30,12.08,$2.39,5.06
2019-06-30,19.01,$3.44,5.53
2019-03-31,29.13,$4.40,6.62
2018-12-31,21.98,$5.43,4.05
2018-09-30,30.47,$5.81,5.24
2018-06-30,34.07,$5.38,6.33
2018-03-31,37.29,$4.69,7.95
2017-12-31,38.2,$3.90,9.79
2017-09-30,38.59,$1.45,26.62
2017-06-30,28.9,$1.48,19.53
2017-03-31,29.32,$0.54,54.3
2016-12-31,16.81,$0.03,560.28
2016-09-30,12.16,$0.81,15.01
2016-06-30,6.25,$-0.46,0.0
