Super League Enterprise PE Ratio Historical Data,Super League Enterprise PE Ratio Historical Data,Super League Enterprise PE Ratio Historical Data,Super League Enterprise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.35,,0.0
2024-09-30,0.62,$-5.61,0.0
2024-06-30,0.8,$-6.08,0.0
2024-03-31,2.15,$-8.88,0.0
2023-12-31,1.52,$-11.68,0.0
2023-09-30,1.74,$-16.81,0.0
2023-06-30,7.6,$-44.00,0.0
2023-03-31,11.1,$-45.40,0.0
2022-12-31,6.73,$-45.80,0.0
2022-09-30,13.5,$-41.00,0.0
2022-06-30,20.4,$-16.80,0.0
2022-03-31,37.6,$-13.60,0.0
2021-12-31,47.2,$-14.00,0.0
2021-09-30,62.2,$-16.40,0.0
2021-06-30,107.8,$-19.60,0.0
2021-03-31,140.8,$-27.60,0.0
2020-12-31,56.6,$-35.00,0.0
2020-09-30,36.6,$-39.80,0.0
2020-06-30,48.0,$-43.00,0.0
2020-03-31,44.0,$-46.40,0.0
2019-12-31,47.2,$-88.00,0.0
