Cross Timbers Royalty Trust PE Ratio Historical Data,Cross Timbers Royalty Trust PE Ratio Historical Data,Cross Timbers Royalty Trust PE Ratio Historical Data,Cross Timbers Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.11,,9.92
2024-09-30,10.41,$1.12,9.3
2024-06-30,10.38,$1.28,8.11
2024-03-31,12.38,$1.57,7.89
2023-12-31,16.44,$1.93,8.52
2023-09-30,17.84,$1.53,11.66
2023-06-30,19.77,$1.74,11.36
2023-03-31,16.39,$1.82,9.01
2022-12-31,21.69,$1.49,14.56
2022-09-30,16.13,$1.77,9.11
2022-06-30,12.29,$1.53,8.03
2022-03-31,10.25,$1.22,8.4
2021-12-31,8.79,$1.11,7.92
2021-09-30,10.52,$1.02,10.32
2021-06-30,8.61,$0.74,11.64
2021-03-31,6.0,$0.64,9.38
2020-12-31,5.73,$0.77,7.44
2020-09-30,3.73,$0.80,4.66
2020-06-30,4.92,$0.89,5.53
2020-03-31,3.69,$1.00,3.69
2019-12-31,5.43,$0.88,6.18
2019-09-30,5.11,$1.03,4.96
2019-06-30,7.53,$1.20,6.27
2019-03-31,6.66,$1.27,5.24
2018-12-31,6.25,$1.43,4.37
2018-09-30,8.31,$1.33,6.25
2018-06-30,7.97,$1.22,6.53
2018-03-31,7.82,$1.11,7.05
2017-12-31,7.69,$1.00,7.69
2017-09-30,7.51,$1.05,7.15
2017-06-30,7.75,$1.02,7.6
2017-03-31,7.29,$0.93,7.84
2016-12-31,8.82,$1.06,8.32
2016-09-30,8.79,$1.08,8.14
2016-06-30,8.63,$1.15,7.51
2016-03-31,7.19,$1.28,5.61
2015-12-31,5.98,$1.35,4.43
2015-09-30,6.95,$1.58,4.4
2015-06-30,7.27,$2.05,3.55
2015-03-31,8.32,$2.39,3.48
2014-12-31,7.36,$2.66,2.77
2014-09-30,13.18,$2.75,4.79
2014-06-30,13.4,$2.68,5.0
2014-03-31,12.38,$2.57,4.82
2013-12-31,11.43,$2.31,4.95
2013-09-30,11.14,$2.24,4.97
2013-06-30,10.05,$2.10,4.79
2013-03-31,10.65,$2.22,4.8
2012-12-31,9.66,$2.49,3.88
2012-09-30,11.02,$2.59,4.25
2012-06-30,12.09,$2.90,4.17
2012-03-31,14.34,$3.00,4.78
2011-12-31,16.35,$3.01,5.43
2011-09-30,14.71,$3.01,4.89
2011-06-30,14.48,$2.84,5.1
2011-03-31,15.03,$2.85,5.27
2010-12-31,12.5,$2.81,4.45
2010-09-30,10.98,$2.72,4.04
2010-06-30,10.5,$2.49,4.22
2010-03-31,9.47,$2.12,4.47
2009-12-31,9.77,$1.89,5.17
