FTAI Aviation PE Ratio Historical Data,FTAI Aviation PE Ratio Historical Data,FTAI Aviation PE Ratio Historical Data,FTAI Aviation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,106.7,,0.0
2024-12-31,144.04,$-0.35,0.0
2024-09-30,132.65,$-0.10,0.0
2024-06-30,102.74,$-0.53,0.0
2024-03-31,66.72,$2.19,30.47
2023-12-31,45.77,$2.10,21.79
2023-09-30,34.81,$1.21,28.77
2023-06-30,30.74,$0.65,47.29
2023-03-31,26.85,$0.30,89.51
2022-12-31,16.25,$-2.22,0.0
2022-09-30,14.0,$-2.61,0.0
2022-06-30,17.73,$-2.82,0.0
2022-03-31,23.18,$-3.35,0.0
2021-12-31,25.66,$-1.45,0.0
2021-09-30,22.23,$-1.96,0.0
2021-06-30,29.04,$-1.82,0.0
2021-03-31,24.11,$-1.58,0.0
2020-12-31,19.85,$-1.21,0.0
2020-09-30,14.22,$1.62,8.78
2020-06-30,10.58,$2.22,4.77
2020-03-31,6.42,$2.64,2.43
2019-12-31,14.83,$2.60,5.7
2019-09-30,11.27,$0.48,23.48
2019-06-30,10.99,$0.23,47.77
2019-03-31,12.2,0,0.0
2018-12-31,10.03,$0.06,167.16
2018-09-30,12.46,$0.09,138.46
2018-06-30,12.17,$0.08,152.11
2018-03-31,10.53,$0.05,210.63
2017-12-31,12.89,0,0.0
2017-09-30,11.46,$-0.06,0.0
2017-06-30,9.93,$-0.12,0.0
2017-03-31,9.1,$-0.25,0.0
2016-12-31,7.95,$-0.27,0.0
2016-09-30,7.29,$-0.31,0.0
2016-06-30,5.21,$-0.45,0.0
2016-03-31,5.45,$-0.31,0.0
