Stock Yards Bancorp PE Ratio Historical Data,Stock Yards Bancorp PE Ratio Historical Data,Stock Yards Bancorp PE Ratio Historical Data,Stock Yards Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.8,,17.69
2024-12-31,71.61,$3.89,18.41
2024-09-30,61.74,$3.64,16.96
2024-06-30,49.22,$3.56,13.83
2024-03-31,48.17,$3.56,13.53
2023-12-31,50.36,$3.67,13.72
2023-09-30,38.2,$3.86,9.9
2023-06-30,43.81,$3.91,11.2
2023-03-31,52.92,$3.88,13.64
2022-12-31,62.02,$3.18,19.5
2022-09-30,64.63,$3.09,20.92
2022-06-30,56.6,$2.98,18.99
2022-03-31,49.81,$2.24,22.24
2021-12-31,59.85,$2.94,20.36
2021-09-30,54.7,$2.80,19.53
2021-06-30,47.21,$2.58,18.3
2021-03-31,47.12,$3.00,15.71
2020-12-31,37.17,$2.60,14.3
2020-09-30,31.05,$2.55,12.18
2020-06-30,36.41,$2.67,13.64
2020-03-31,26.0,$2.80,9.28
2019-12-31,36.53,$2.89,12.64
2019-09-30,32.43,$2.80,11.58
2019-06-30,31.74,$2.64,12.02
2019-03-31,29.46,$2.51,11.74
2018-12-31,28.38,$2.41,11.78
2018-09-30,31.15,$1.99,15.65
2018-06-30,32.52,$1.90,17.12
2018-03-31,29.75,$1.77,16.81
2017-12-31,31.75,$1.66,19.12
2017-09-30,31.82,$1.90,16.75
2017-06-30,32.38,$1.85,17.5
2017-03-31,33.66,$1.84,18.29
2016-12-31,38.7,$1.80,21.46
2016-09-30,27.05,$1.77,15.28
2016-06-30,23.04,$1.72,13.37
2016-03-31,20.83,$1.67,12.45
2015-12-31,20.3,$1.65,12.28
2015-09-30,19.4,$1.62,11.98
2015-06-30,20.03,$1.65,12.12
2015-03-31,18.13,$1.62,11.19
2014-12-31,17.44,$1.58,11.04
2014-09-30,15.63,$1.47,10.61
2014-06-30,15.42,$1.38,11.17
2014-03-31,16.19,$1.31,12.33
2013-12-31,16.22,$1.27,12.81
2013-09-30,14.31,$1.29,11.06
2013-06-30,12.29,$1.26,9.76
2013-03-31,11.18,$1.25,8.92
2012-12-31,11.05,$1.24,8.91
2012-09-30,11.55,$1.23,9.37
2012-06-30,11.6,$1.19,9.72
2012-03-31,11.14,$1.19,9.39
2011-12-31,9.78,$1.14,8.58
2011-09-30,8.79,$1.13,7.8
2011-06-30,10.87,$1.15,9.43
2011-03-31,11.68,$1.13,10.31
2010-12-31,11.31,$1.11,10.22
2010-09-30,11.35,$1.09,10.45
2010-06-30,10.44,$0.99,10.51
2010-03-31,10.26,$0.93,10.99
2009-12-31,9.56,$0.93,10.31
