Cyngn PE Ratio Historical Data,Cyngn PE Ratio Historical Data,Cyngn PE Ratio Historical Data,Cyngn PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.64,,0.0
2024-12-31,0.85,"$-2,718.42",0.0
2024-09-30,3.89,"$-4,007.46",0.0
2024-06-30,0.07,"$-5,688.06",0.0
2024-03-31,0.17,"$-7,652.65",0.0
2023-12-31,0.14,"$-8,765.27",0.0
2023-09-30,0.48,"$-9,145.18",0.0
2023-06-30,1.28,"$-9,226.59",0.0
2023-03-31,1.24,"$-8,683.85",0.0
2022-12-31,0.67,"$-8,276.80",0.0
2022-09-30,1.0,"$-7,462.69",0.0
