Allakos PE Ratio Historical Data,Allakos PE Ratio Historical Data,Allakos PE Ratio Historical Data,Allakos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.25,,0.0
2024-12-31,1.21,$-1.32,0.0
2024-09-30,0.65,$-2.03,0.0
2024-06-30,1.0,$-2.34,0.0
2024-03-31,1.26,$-2.45,0.0
2023-12-31,2.73,$-2.13,0.0
2023-09-30,2.27,$-1.92,0.0
2023-06-30,4.36,$-1.93,0.0
2023-03-31,4.45,$-2.42,0.0
2022-12-31,8.42,$-5.53,0.0
2022-09-30,6.12,$-6.76,0.0
2022-06-30,3.13,$-7.39,0.0
2022-03-31,5.7,$-7.56,0.0
2021-12-31,9.79,$-5.00,0.0
2021-09-30,105.87,$-4.13,0.0
2021-06-30,85.37,$-3.83,0.0
2021-03-31,114.78,$-3.56,0.0
2020-12-31,140.0,$-3.09,0.0
2020-09-30,81.45,$-2.74,0.0
2020-06-30,71.86,$-2.35,0.0
2020-03-31,44.49,$-1.99,0.0
2019-12-31,95.36,$-1.89,0.0
2019-09-30,78.63,$-1.73,0.0
2019-06-30,43.33,$-1.60,0.0
