Miller Industries PE Ratio Historical Data,Miller Industries PE Ratio Historical Data,Miller Industries PE Ratio Historical Data,Miller Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.41,,8.09
2024-12-31,65.36,$5.49,11.91
2024-09-30,60.84,$6.03,10.09
2024-06-30,54.7,$6.22,8.79
2024-03-31,49.81,$5.73,8.69
2023-12-31,41.88,$5.07,8.26
2023-09-30,38.65,$4.43,8.73
2023-06-30,34.81,$3.37,10.33
2023-03-31,34.51,$2.41,14.32
2022-12-31,25.88,$1.78,14.54
2022-09-30,20.54,$1.21,16.97
2022-06-30,21.7,$1.09,19.91
2022-03-31,26.76,$1.33,20.12
2021-12-31,31.54,$1.43,22.06
2021-09-30,31.97,$2.24,14.27
2021-06-30,36.87,$2.47,14.93
2021-03-31,42.99,$2.41,17.84
2020-12-31,35.24,$2.61,13.5
2020-09-30,28.19,$2.59,10.88
2020-06-30,27.3,$2.73,10.0
2020-03-31,25.79,$3.16,8.16
2019-12-31,33.64,$3.44,9.78
2019-09-30,30.02,$3.36,8.94
2019-06-30,27.57,$3.41,8.08
2019-03-31,27.48,$3.14,8.75
2018-12-31,23.92,$2.97,8.05
2018-09-30,23.68,$2.83,8.37
2018-06-30,22.34,$2.46,9.08
2018-03-31,21.72,$2.27,9.57
2017-12-31,22.25,$2.02,11.01
2017-09-30,23.94,$1.59,15.06
2017-06-30,21.13,$1.69,12.5
2017-03-31,22.25,$1.79,12.43
2016-12-31,22.18,$1.75,12.67
2016-09-30,18.98,$1.71,11.1
2016-06-30,17.02,$1.50,11.34
2016-03-31,16.63,$1.44,11.55
2015-12-31,17.71,$1.41,12.56
2015-09-30,15.77,$1.57,10.05
2015-06-30,15.98,$1.60,9.99
2015-03-31,19.47,$1.38,14.11
2014-12-31,16.4,$1.32,12.43
2014-09-30,13.23,$1.03,12.84
2014-06-30,15.98,$0.95,16.82
2014-03-31,15.05,$0.91,16.54
2013-12-31,14.24,$0.82,17.37
2013-09-30,12.88,$0.76,16.95
2013-06-30,11.57,$0.79,14.64
2013-03-31,11.97,$0.76,15.75
2012-12-31,11.28,$0.82,13.75
2012-09-30,11.76,$1.10,10.69
2012-06-30,11.58,$1.25,9.27
2012-03-31,12.2,$1.49,8.18
2011-12-31,11.25,$1.92,5.86
2011-09-30,12.31,$1.79,6.88
2011-06-30,13.18,$1.62,8.13
2011-03-31,11.37,$1.41,8.06
2010-12-31,9.88,$0.97,10.19
2010-09-30,9.4,$0.84,11.19
2010-06-30,9.36,$0.74,12.64
2010-03-31,8.63,$0.60,14.39
2009-12-31,7.82,$0.51,15.33
