NGL Energy Partners LP PE Ratio Historical Data,NGL Energy Partners LP PE Ratio Historical Data,NGL Energy Partners LP PE Ratio Historical Data,NGL Energy Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.66,,0.0
2024-12-31,4.99,$-2.52,0.0
2024-09-30,4.5,$-2.32,0.0
2024-06-30,5.06,$-2.16,0.0
2024-03-31,5.76,$-2.13,0.0
2023-12-31,5.57,$-0.59,0.0
2023-09-30,3.87,$-0.48,0.0
2023-06-30,3.89,$-0.64,0.0
2023-03-31,2.9,$-0.57,0.0
2022-12-31,1.21,$-0.49,0.0
2022-09-30,1.3,$-1.03,0.0
2022-06-30,1.52,$-1.03,0.0
2022-03-31,2.22,$-2.22,0.0
2021-12-31,1.82,$-3.75,0.0
2021-09-30,2.37,$-6.53,0.0
2021-06-30,2.38,$-6.46,0.0
2021-03-31,2.04,$-5.67,0.0
2020-12-31,2.4,$-5.80,0.0
2020-09-30,3.81,$-2.49,0.0
2020-06-30,3.6,$-4.07,0.0
2020-03-31,2.32,$-4.59,0.0
2019-12-31,9.73,$-2.31,0.0
2019-09-30,11.52,$-1.85,0.0
2019-06-30,11.9,$2.57,4.63
2019-03-31,10.99,$1.98,5.55
2018-12-31,7.26,$2.50,2.9
2018-09-30,8.48,$2.18,3.89
2018-06-30,8.86,$-2.08,0.0
2018-03-31,7.53,$-1.14,0.0
2017-12-31,9.37,$-1.71,0.0
2017-09-30,7.44,$-2.10,0.0
2017-06-30,8.75,$-1.25,0.0
2017-03-31,13.76,$0.74,18.59
2016-12-31,12.58,$-1.39,0.0
2016-09-30,11.05,$-1.29,0.0
2016-06-30,11.08,$-0.99,0.0
2016-03-31,4.19,$-2.93,0.0
2015-12-31,5.79,$-0.06,0.0
2015-09-30,10.13,$-0.35,0.0
2015-06-30,15.04,$-0.28,0.0
2015-03-31,12.73,$-0.33,0.0
2014-12-31,13.31,$-0.67,0.0
2014-09-30,18.39,$-0.14,0.0
2014-06-30,19.97,$0.15,133.13
2014-03-31,17.05,$0.41,41.58
2013-12-31,15.44,$0.26,59.38
2013-09-30,13.58,$0.74,18.35
2013-06-30,13.07,$0.97,13.47
2013-03-31,11.46,$0.56,20.46
2012-12-31,9.75,$0.64,15.24
2012-09-30,9.87,$0.13,75.94
2012-06-30,8.95,$-0.41,0.0
2012-03-31,8.19,$-0.18,0.0
