Northeast Bancorp PE Ratio Historical Data,Northeast Bancorp PE Ratio Historical Data,Northeast Bancorp PE Ratio Historical Data,Northeast Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,92.59,,45.17
2019-03-31,20.56,$2.05,10.03
2018-12-31,16.63,$1.96,8.48
2018-09-30,21.56,$1.76,12.25
2018-06-30,21.65,$1.77,12.23
2018-03-31,20.35,$1.74,11.69
2017-12-31,22.97,$1.70,13.51
2017-09-30,25.93,$1.69,15.34
2017-06-30,20.17,$1.38,14.62
2017-03-31,15.16,$1.17,12.95
2016-12-31,12.97,$0.97,13.37
2016-09-30,11.45,$0.80,14.32
2016-06-30,11.12,$0.81,13.72
2016-03-31,10.47,$0.79,13.26
2015-12-31,10.36,$0.78,13.28
2015-09-30,10.38,$0.76,13.65
2015-06-30,9.79,$0.72,13.6
2015-03-31,9.08,$0.55,16.5
2014-12-31,9.47,$0.41,23.09
2014-09-30,9.09,$0.38,23.91
2014-06-30,9.38,$0.25,37.52
2014-03-31,9.16,$0.22,41.65
2013-12-31,9.29,$0.34,27.32
2013-09-30,9.69,$0.33,29.38
2013-06-30,9.21,$0.39,23.61
2013-03-31,8.9,$0.51,17.46
2012-12-31,8.55,$0.37,23.1
2012-09-30,8.79,$0.34,25.86
2012-06-30,7.77,$0.37,20.99
2012-03-31,11.14,$0.36,30.93
2011-12-31,11.36,$0.36,31.57
2011-09-30,11.55,$0.60,19.26
2011-06-30,12.21,$0.86,14.2
2011-03-31,12.8,$0.72,17.78
2010-12-31,13.54,$0.90,15.05
2010-09-30,10.46,$0.82,12.76
2010-06-30,11.0,$0.63,17.45
2010-03-31,12.04,$0.70,17.2
2009-12-31,7.21,$0.64,11.26
