Battalion Oil PE Ratio Historical Data,Battalion Oil PE Ratio Historical Data,Battalion Oil PE Ratio Historical Data,Battalion Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.14,,0.0
2024-09-30,6.67,$-0.80,0.0
2024-06-30,3.34,$-4.64,0.0
2024-03-31,5.66,$-4.46,0.0
2023-12-31,9.61,$-0.94,0.0
2023-09-30,6.18,$-3.04,0.0
2023-06-30,5.71,$6.88,0.83
2023-03-31,6.57,$8.02,0.82
2022-12-31,9.71,$1.05,9.25
2022-09-30,11.9,$3.10,3.84
2022-06-30,8.53,$-2.53,0.0
2022-03-31,18.58,$-5.41,0.0
2021-12-31,9.8,$-1.78,0.0
2021-09-30,9.73,$-7.29,0.0
2021-06-30,13.4,$-17.53,0.0
2021-03-31,10.88,$-23.30,0.0
2020-12-31,8.3,$-14.17,0.0
