BioLineRx PE Ratio Historical Data,BioLineRx PE Ratio Historical Data,BioLineRx PE Ratio Historical Data,BioLineRx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.42,,0.0
2024-09-30,0.54,$-8.80,0.0
2024-06-30,0.57,$-18.00,0.0
2024-03-31,1.12,$-30.40,0.0
2023-12-31,1.57,$-36.00,0.0
2023-09-30,1.82,$-33.60,0.0
2023-06-30,1.6,$-27.60,0.0
2023-03-31,0.89,$-22.00,0.0
2022-12-31,0.59,$-20.00,0.0
2022-09-30,0.93,$-19.60,0.0
2022-06-30,1.28,$-22.80,0.0
2022-03-31,1.71,$-22.40,0.0
2021-12-31,2.04,$-29.20,0.0
2021-09-30,2.75,$-50.40,0.0
2021-06-30,2.81,$-53.20,0.0
2021-03-31,2.79,$-65.20,0.0
2020-12-31,2.52,$-78.40,0.0
2020-09-30,1.64,$-92.80,0.0
2020-06-30,1.71,$-96.80,0.0
2020-03-31,1.33,$-80.40,0.0
2019-12-31,2.25,$-86.39,0.0
2019-09-30,2.64,$-77.57,0.0
2019-06-30,5.48,$-97.55,0.0
2019-03-31,6.45,$-125.94,0.0
2018-12-31,6.56,$-131.93,0.0
2018-09-30,16.05,$-143.93,0.0
2018-06-30,13.35,$-149.93,0.0
2018-03-31,13.05,$-149.93,0.0
2017-12-31,16.35,$-161.92,0.0
2017-09-30,16.8,$-197.90,0.0
2017-06-30,12.68,$-203.90,0.0
2017-03-31,14.41,$-215.89,0.0
2016-12-31,13.8,$-227.89,0.0
2016-09-30,17.25,$-191.90,0.0
2016-06-30,12.0,$-161.92,0.0
2016-03-31,15.3,$-173.91,0.0
2015-12-31,19.5,$-161.92,0.0
2015-09-30,22.95,$-185.91,0.0
2015-06-30,39.9,$-179.91,0.0
2015-03-31,31.65,$-197.90,0.0
2014-12-31,24.3,$-209.90,0.0
2014-09-30,23.1,$-263.87,0.0
2014-06-30,31.2,$-371.81,0.0
2014-03-31,33.45,$-419.79,0.0
2013-12-31,42.15,$-479.76,0.0
2013-09-30,32.85,$-539.73,0.0
2013-06-30,24.3,$-659.67,0.0
2013-03-31,25.2,$-551.72,0.0
2012-12-31,37.95,$-611.69,0.0
2012-09-30,39.45,$-611.69,0.0
2012-06-30,36.6,$-491.75,0.0
