Beyond PE Ratio Historical Data,Beyond PE Ratio Historical Data,Beyond PE Ratio Historical Data,Beyond PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.02,,0.0
2024-12-31,4.93,$-5.50,0.0
2024-09-30,10.08,$-7.39,0.0
2024-06-30,13.08,$-7.45,0.0
2024-03-31,35.91,$-8.15,0.0
2023-12-31,27.69,$-6.80,0.0
2023-09-30,15.82,$-3.59,0.0
2023-06-30,32.57,$-3.01,0.0
2023-03-31,20.27,$-1.26,0.0
2022-12-31,19.36,$-0.82,0.0
2022-09-30,24.35,$0.20,121.75
2022-06-30,25.01,$1.64,15.25
2022-03-31,44.01,$7.99,5.51
2021-12-31,59.01,$8.11,7.28
2021-09-30,77.92,$7.69,10.13
2021-06-30,92.2,$7.56,12.2
2021-03-31,66.26,$1.93,34.33
2020-12-31,47.97,$1.20,39.98
2020-09-30,72.65,$0.21,345.95
2020-06-30,28.43,$-1.18,0.0
2020-03-31,4.99,$-2.71,0.0
2019-12-31,7.05,$-3.49,0.0
2019-09-30,10.59,$-4.15,0.0
2019-06-30,13.6,$-4.81,0.0
2019-03-31,16.62,$-6.32,0.0
2018-12-31,13.58,$-6.88,0.0
2018-09-30,27.7,$-9.21,0.0
2018-06-30,33.65,$-7.69,0.0
2018-03-31,36.25,$-5.78,0.0
2017-12-31,63.9,$-4.27,0.0
2017-09-30,29.7,$-0.43,0.0
2017-06-30,16.3,$-0.52,0.0
2017-03-31,17.2,$-0.27,0.0
2016-12-31,17.5,$0.49,35.71
2016-09-30,15.32,$0.37,41.41
2016-06-30,16.11,$0.41,39.29
2016-03-31,14.38,$0.52,27.65
2015-12-31,12.28,$0.10,122.8
2015-09-30,17.16,$0.16,107.25
2015-06-30,22.54,$0.31,72.71
2015-03-31,24.22,$0.32,75.69
2014-12-31,24.27,$0.37,65.59
2014-09-30,16.86,$3.32,5.08
2014-06-30,15.77,$3.39,4.65
2014-03-31,19.7,$3.46,5.69
2013-12-31,30.79,$3.62,8.51
2013-09-30,29.67,$0.98,30.28
2013-06-30,28.2,$0.95,29.68
2013-03-31,12.32,$0.82,15.02
2012-12-31,14.31,$0.62,23.08
2012-09-30,10.36,$0.10,103.6
2012-06-30,6.91,$-0.34,0.0
2012-03-31,5.24,$-0.70,0.0
2011-12-31,7.84,$-0.84,0.0
2011-09-30,9.27,$-0.06,0.0
2011-06-30,15.22,$0.12,126.83
2011-03-31,15.72,$0.40,39.3
2010-12-31,16.48,$0.58,28.41
2010-09-30,15.72,$0.50,31.44
2010-06-30,18.07,$0.62,29.15
2010-03-31,16.23,$0.70,23.19
2009-12-31,13.56,$0.45,30.13
