Qualigen Therapeutics PE Ratio Historical Data,Qualigen Therapeutics PE Ratio Historical Data,Qualigen Therapeutics PE Ratio Historical Data,Qualigen Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.14,,0.0
2024-09-30,8.53,$-32.70,0.0
2024-06-30,8.62,$-64.00,0.0
2024-03-31,20.0,$-88.00,0.0
2023-12-31,27.5,$-109.50,0.0
2023-09-30,50.5,$-109.50,0.0
2023-06-30,45.55,$-123.50,0.0
2023-03-31,46.26,$-144.00,0.0
2022-12-31,64.45,$-165.00,0.0
2022-09-30,133.5,$-265.00,0.0
2022-06-30,284.85,$-265.00,0.0
2022-03-31,330.0,$-300.00,0.0
2021-12-31,535.0,$-305.00,0.0
2021-09-30,650.0,$-205.00,0.0
2021-06-30,995.0,$-360.00,0.0
2021-03-31,1350.0,"$-1,330.00",0.0
2020-12-31,1505.0,"$-1,890.00",0.0
2020-09-30,2475.0,"$-2,515.00",0.0
2020-06-30,1985.0,"$-5,185.00",0.0
2020-03-31,3337.5,"$-8,000.00",0.0
2019-12-31,2111.25,"$-14,625.00",0.0
2019-09-30,3875.0,"$-34,750.00",0.0
2019-06-30,13375.0,"$-42,625.00",0.0
2019-03-31,10906.25,"$-47,625.00",0.0
2018-12-31,7500.0,"$-45,500.00",0.0
2018-09-30,23250.0,"$-38,500.00",0.0
2018-06-30,32125.0,"$-45,250.00",0.0
2018-03-31,34000.0,"$-53,875.00",0.0
2017-12-31,41175.0,"$-66,250.00",0.0
2017-09-30,43750.0,"$-145,000.00",0.0
2017-06-30,68750.0,"$-178,750.00",0.0
2017-03-31,177500.0,"$-221,250.00",0.0
2016-12-31,338750.0,"$-248,750.00",0.0
2016-09-30,210000.0,"$-156,250.00",0.0
2016-06-30,191250.0,"$-155,000.00",0.0
2016-03-31,141250.0,"$-95,000.00",0.0
