Employers Holdings Inc PE Ratio Historical Data,Employers Holdings Inc PE Ratio Historical Data,Employers Holdings Inc PE Ratio Historical Data,Employers Holdings Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.09,,10.63
2024-12-31,51.23,$4.71,10.88
2024-09-30,47.7,$5.34,8.93
2024-06-30,42.12,$4.67,9.02
2024-03-31,44.53,$4.72,9.43
2023-12-31,38.42,$4.47,8.6
2023-09-30,38.67,$4.42,8.75
2023-06-30,35.96,$4.58,7.85
2023-03-31,39.78,$2.72,14.62
2022-12-31,40.91,$1.78,22.98
2022-09-30,31.62,$2.00,15.81
2022-06-30,38.16,$1.83,20.85
2022-03-31,36.24,$3.31,10.95
2021-12-31,36.33,$4.19,8.67
2021-09-30,34.45,$4.44,7.76
2021-06-30,37.12,$4.96,7.48
2021-03-31,37.12,$6.01,6.18
2020-12-31,27.54,$4.07,6.77
2020-09-30,25.69,$2.87,8.95
2020-06-30,25.41,$2.83,8.98
2020-03-31,33.85,$2.11,16.04
2019-12-31,34.66,$4.82,7.19
2019-09-30,36.0,$4.60,7.83
2019-06-30,34.73,$5.02,6.92
2019-03-31,32.79,$5.05,6.49
2018-12-31,34.31,$4.25,8.07
2018-09-30,36.88,$4.42,8.34
2018-06-30,32.57,$3.65,8.92
2018-03-31,32.61,$3.12,10.45
2017-12-31,35.62,$3.05,11.68
2017-09-30,36.34,$3.19,11.39
2017-06-30,33.71,$3.22,10.47
2017-03-31,30.13,$3.27,9.21
2016-12-31,31.31,$3.22,9.73
2016-09-30,23.52,$2.96,7.95
2016-06-30,22.81,$3.02,7.55
2016-03-31,22.05,$3.12,7.07
2015-12-31,21.32,$2.90,7.35
2015-09-30,17.37,$2.99,5.81
2015-06-30,17.71,$2.71,6.54
2015-03-31,20.93,$3.23,6.48
2014-12-31,18.19,$3.14,5.79
2014-09-30,14.85,$2.67,5.56
2014-06-30,16.29,$3.06,5.32
2014-03-31,15.52,$2.10,7.39
2013-12-31,24.21,$2.00,12.1
2013-09-30,22.7,$4.38,5.18
2013-06-30,18.62,$3.78,4.93
2013-03-31,17.82,$3.48,5.12
2012-12-31,15.6,$3.43,4.55
2012-09-30,13.85,$1.19,11.64
2012-06-30,13.58,$1.24,10.95
2012-03-31,13.29,$1.29,10.3
2011-12-31,13.52,$1.31,10.32
2011-09-30,9.5,$1.24,7.66
2011-06-30,12.43,$1.18,10.54
2011-03-31,15.26,$1.36,11.22
2010-12-31,12.87,$1.53,8.41
2010-09-30,11.57,$1.28,9.04
2010-06-30,10.76,$1.70,6.33
2010-03-31,10.81,$1.75,6.18
2009-12-31,11.12,$1.80,6.18
