Nomad Foods PE Ratio Historical Data,Nomad Foods PE Ratio Historical Data,Nomad Foods PE Ratio Historical Data,Nomad Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.55,,12.95
2024-12-31,16.78,$1.51,11.11
2024-09-30,18.9,$1.33,14.21
2024-06-30,16.21,$1.35,12.01
2024-03-31,19.08,$1.20,15.9
2023-12-31,16.39,$1.23,13.33
2023-09-30,14.72,$1.28,11.5
2023-06-30,16.94,$1.25,13.55
2023-03-31,18.12,$1.40,12.94
2022-12-31,16.67,$1.50,11.11
2022-09-30,13.73,$1.47,9.34
2022-06-30,19.33,$1.34,14.43
2022-03-31,21.84,$1.23,17.75
2021-12-31,24.55,$1.20,20.46
2021-09-30,26.65,$1.40,19.04
2021-06-30,27.34,$1.40,19.53
2021-03-31,26.56,$1.40,18.97
2020-12-31,24.58,$1.32,18.62
2020-09-30,24.64,$1.20,20.53
2020-06-30,20.74,$1.08,19.21
2020-03-31,17.95,$1.00,17.95
2019-12-31,21.63,$0.90,24.04
2019-09-30,19.82,$0.90,22.03
2019-06-30,20.66,$0.92,22.45
2019-03-31,19.78,$0.87,22.73
2018-12-31,16.17,$1.16,13.94
2018-09-30,19.59,$1.09,17.97
2018-06-30,18.56,$1.14,16.28
2018-03-31,15.22,$1.04,14.64
2017-12-31,16.35,$0.88,18.58
2017-09-30,14.09,$0.68,20.72
2017-06-30,13.65,$0.41,33.28
2017-03-31,11.07,$0.25,44.29
2016-12-31,9.25,$0.22,42.07
