Perdoceo Education PE Ratio Historical Data,Perdoceo Education PE Ratio Historical Data,Perdoceo Education PE Ratio Historical Data,Perdoceo Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.48,,11.13
2024-12-31,26.47,$2.20,12.03
2024-09-30,22.14,$1.99,11.12
2024-06-30,21.2,$2.04,10.39
2024-03-31,17.29,$2.27,7.62
2023-12-31,17.19,$2.18,7.88
2023-09-30,16.63,$2.15,7.74
2023-06-30,11.86,$1.85,6.41
2023-03-31,12.98,$1.42,9.14
2022-12-31,13.43,$1.38,9.73
2022-09-30,9.95,$1.50,6.63
2022-06-30,11.38,$1.57,7.25
2022-03-31,11.09,$1.57,7.06
2021-12-31,11.36,$1.54,7.38
2021-09-30,10.2,$1.57,6.5
2021-06-30,11.86,$1.74,6.81
2021-03-31,11.56,$1.77,6.53
2020-12-31,12.2,$1.75,6.97
2020-09-30,11.83,$1.75,6.76
2020-06-30,15.39,$1.44,10.69
2020-03-31,10.43,$1.03,10.12
2019-12-31,17.77,$0.97,18.32
2019-09-30,15.35,$0.79,19.43
2019-06-30,18.43,$0.75,24.57
2019-03-31,15.96,$0.88,18.14
2018-12-31,11.03,$0.78,14.15
2018-09-30,14.43,$-0.06,0.0
2018-06-30,15.62,$-0.23,0.0
2018-03-31,12.7,$-0.29,0.0
2017-12-31,11.67,$-0.47,0.0
2017-09-30,10.04,$-0.31,0.0
2017-06-30,9.28,$-0.36,0.0
2017-03-31,8.41,$-0.25,0.0
2016-12-31,9.75,$-0.28,0.0
2016-09-30,6.56,$2.28,2.88
2016-06-30,5.75,$1.62,3.55
2016-03-31,4.39,$1.14,3.85
2015-12-31,3.51,$0.73,4.8
2015-09-30,3.63,$-1.73,0.0
2015-06-30,3.19,$-1.77,0.0
2015-03-31,4.86,$-2.15,0.0
2014-12-31,6.72,$-2.65,0.0
2014-09-30,4.91,$-2.73,0.0
2014-06-30,4.52,$-3.32,0.0
2014-03-31,7.21,$-3.10,0.0
2013-12-31,5.51,$-2.46,0.0
2013-09-30,2.66,$-2.93,0.0
2013-06-30,2.8,$-2.13,0.0
2013-03-31,2.29,$-3.18,0.0
2012-12-31,3.39,$-2.17,0.0
2012-09-30,3.63,$-2.88,0.0
2012-06-30,6.46,$-2.24,0.0
2012-03-31,7.79,$0.01,778.76
2011-12-31,7.7,$0.18,42.78
2011-09-30,12.61,$1.97,6.4
2011-06-30,20.44,$2.16,9.46
2011-03-31,21.95,$2.23,9.84
2010-12-31,20.03,$1.94,10.32
2010-09-30,20.74,$2.15,9.65
2010-06-30,22.24,$2.07,10.74
2010-03-31,30.57,$1.34,22.81
2009-12-31,22.52,$0.94,23.96
