Akebia Therapeutics PE Ratio Historical Data,Akebia Therapeutics PE Ratio Historical Data,Akebia Therapeutics PE Ratio Historical Data,Akebia Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.04,,0.0
2024-12-31,1.9,$-0.23,0.0
2024-09-30,1.32,$-0.23,0.0
2024-06-30,1.02,$-0.21,0.0
2024-03-31,1.83,$-0.23,0.0
2023-12-31,1.24,$-0.28,0.0
2023-09-30,1.14,$-0.32,0.0
2023-06-30,0.92,$-0.52,0.0
2023-03-31,0.56,$-0.31,0.0
2022-12-31,0.58,$-0.52,0.0
2022-09-30,0.32,$-0.88,0.0
2022-06-30,0.35,$-0.94,0.0
2022-03-31,0.72,$-1.60,0.0
2021-12-31,2.26,$-1.70,0.0
2021-09-30,2.88,$-1.90,0.0
2021-06-30,3.79,$-1.98,0.0
2021-03-31,3.39,$-2.75,0.0
2020-12-31,2.8,$-2.77,0.0
2020-09-30,2.51,$-2.96,0.0
2020-06-30,13.58,$-3.00,0.0
2020-03-31,7.58,$-2.21,0.0
2019-12-31,6.32,$-2.36,0.0
2019-09-30,3.92,$-2.50,0.0
2019-06-30,4.84,$-2.50,0.0
2019-03-31,8.19,$-2.61,0.0
2018-12-31,5.53,$-2.47,0.0
2018-09-30,8.83,$-1.29,0.0
2018-06-30,9.98,$-1.32,0.0
2018-03-31,9.53,$-1.25,0.0
2017-12-31,14.87,$-1.92,0.0
2017-09-30,19.67,$-3.16,0.0
2017-06-30,14.37,$-3.63,0.0
2017-03-31,9.2,$-4.05,0.0
2016-12-31,10.41,$-3.60,0.0
2016-09-30,9.05,$-3.27,0.0
2016-06-30,7.48,$-2.99,0.0
2016-03-31,9.01,$-2.44,0.0
2015-12-31,12.92,$-2.27,0.0
2015-09-30,9.66,$-2.13,0.0
2015-06-30,10.29,$-1.92,0.0
2015-03-31,11.11,$-1.91,0.0
2014-12-31,11.64,$-44.75,0.0
