Old Second Bancorp PE Ratio Historical Data,Old Second Bancorp PE Ratio Historical Data,Old Second Bancorp PE Ratio Historical Data,Old Second Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.82,,8.99
2024-12-31,17.78,$1.87,9.51
2024-09-30,15.53,$1.85,8.4
2024-06-30,14.71,$1.89,7.78
2024-03-31,13.7,$1.97,6.95
2023-12-31,15.23,$2.02,7.54
2023-09-30,13.38,$2.14,6.25
2023-06-30,12.8,$2.03,6.3
2023-03-31,13.72,$1.74,7.89
2022-12-31,15.6,$1.49,10.47
2022-09-30,12.65,$0.71,17.82
2022-06-30,12.93,$0.57,22.68
2022-03-31,13.97,$0.60,23.28
2021-12-31,12.08,$0.73,16.54
2021-09-30,12.48,$1.26,9.91
2021-06-30,11.8,$1.31,9.01
2021-03-31,12.52,$1.32,9.49
2020-12-31,9.57,$0.93,10.29
2020-09-30,7.09,$0.97,7.31
2020-06-30,7.35,$1.03,7.14
2020-03-31,6.52,$1.03,6.33
2019-12-31,12.7,$1.30,9.77
2019-09-30,11.52,$1.27,9.07
2019-06-30,12.02,$1.19,10.1
2019-03-31,11.85,$1.09,10.87
2018-12-31,12.22,$1.12,10.91
2018-09-30,14.52,$0.76,19.1
2018-06-30,13.52,$0.71,19.04
2018-03-31,13.04,$0.68,19.18
2017-12-31,12.8,$0.52,24.61
2017-09-30,12.6,$0.77,16.37
2017-06-30,10.81,$0.62,17.44
2017-03-31,10.52,$0.57,18.46
2016-12-31,10.33,$0.53,19.48
2016-09-30,7.76,$0.49,15.83
2016-06-30,6.37,$0.49,12.99
2016-03-31,6.67,$0.48,13.9
2015-12-31,7.3,$0.46,15.86
2015-09-30,5.8,$0.39,14.87
2015-06-30,6.14,$0.33,18.61
2015-03-31,5.32,$0.47,11.33
2014-12-31,5.0,$0.42,11.9
2014-09-30,4.48,$0.28,15.99
2014-06-30,4.63,$5.30,0.87
2014-03-31,4.28,$5.19,0.82
2013-12-31,4.3,$5.45,0.79
2013-09-30,5.3,$5.55,0.95
2013-06-30,5.14,$0.39,13.17
2013-03-31,2.96,$0.24,12.33
2012-12-31,1.14,$-0.36,0.0
2012-09-30,1.34,$-0.68,0.0
2012-06-30,1.21,$-0.78,0.0
2012-03-31,1.71,$-0.79,0.0
2011-12-31,1.21,$-0.79,0.0
2011-09-30,1.17,$-5.97,0.0
2011-06-30,0.84,$-5.88,0.0
2011-03-31,0.93,$-7.62,0.0
2010-12-31,1.58,$-8.01,0.0
2010-09-30,1.29,$-2.87,0.0
2010-06-30,1.86,$-2.75,0.0
2010-03-31,6.11,$-5.29,0.0
2009-12-31,6.38,$-4.59,0.0
