Plus Therapeutics PE Ratio Historical Data,Plus Therapeutics PE Ratio Historical Data,Plus Therapeutics PE Ratio Historical Data,Plus Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.38,,0.0
2024-09-30,1.46,$-2.53,0.0
2024-06-30,1.47,$-3.16,0.0
2024-03-31,1.81,$-3.04,0.0
2023-12-31,1.75,$-33.76,0.0
2023-09-30,1.34,$-69.02,0.0
2023-06-30,2.02,$-110.73,0.0
2023-03-31,4.35,$-164.09,0.0
2022-12-31,4.76,$-175.32,0.0
2022-09-30,6.68,$-200.05,0.0
2022-06-30,8.1,$-220.28,0.0
2022-03-31,15.0,$-222.53,0.0
2021-12-31,15.75,$-254.00,0.0
2021-09-30,28.65,$-357.39,0.0
2021-06-30,38.4,$-382.12,0.0
2021-03-31,36.0,$-427.07,0.0
2020-12-31,30.3,$-415.83,0.0
2020-09-30,38.4,$-227.02,0.0
2020-06-30,31.8,$-146.10,0.0
2020-03-31,28.2,"$-4,691.06",0.0
2019-12-31,36.0,"$-6,651.10",0.0
2019-09-30,51.3,"$-8,474.03",0.0
2019-06-30,181.73,"$-14,648.60",0.0
2019-03-31,194.25,"$-16,633.37",0.0
2018-12-31,217.5,"$-22,477.52",0.0
2018-09-30,304.13,"$-43,156.84",0.0
2018-06-30,1087.5,"$-52,709.78",0.0
2018-03-31,2148.0,"$-67,432.55",0.0
2017-12-31,2262.0,"$-96,653.33",0.0
2017-09-30,2748.75,"$-101,148.83",0.0
2017-06-30,8250.0,"$-114,635.35",0.0
2017-03-31,12000.0,"$-141,608.38",0.0
2016-12-31,11325.0,"$-795,704.27",0.0
2016-09-30,15225.0,"$-802,430.68",0.0
2016-06-30,15675.0,"$-756,360.19",0.0
2016-03-31,23973.75,"$-657,484.37",0.0
2015-12-31,20812.5,"$-320,144.57",0.0
2015-09-30,38250.0,"$-421,242.84",0.0
2015-06-30,62662.49,"$-640,289.15",0.0
2015-03-31,132749.99,"$-943,584.10",0.0
2014-12-31,54978.74,"$-825,636.10",0.0
2014-09-30,76049.99,"$-926,734.40",0.0
2014-06-30,268874.97,"$-859,335.50",0.0
2014-03-31,303749.97,"$-690,838.28",0.0
2013-12-31,289124.97,"$-640,289.18",0.0
2013-09-30,262124.97,"$-505,491.48",0.0
2013-06-30,258749.97,"$-690,838.38",0.0
2013-03-31,281812.47,"$-825,636.10",0.0
2012-12-31,314999.97,"$-909,884.60",0.0
2012-09-30,496124.95,"$-1,010,982.90",0.0
2012-06-30,303749.97,"$-943,584.10",0.0
2012-03-31,280124.97,"$-893,035.00",0.0
2011-12-31,247499.98,"$-1,010,983.10",0.0
2011-09-30,331874.97,"$-1,112,081.40",0.0
2011-06-30,538874.95,"$-1,246,879.10",0.0
2011-03-31,879749.91,"$-1,280,578.50",0.0
2010-12-31,583874.94,"$-994,133.30",0.0
2010-09-30,550124.95,"$-1,095,231.60",0.0
2010-06-30,391499.96,"$-1,010,983.00",0.0
2010-03-31,512999.95,"$-842,485.83",0.0
2009-12-31,686249.93,"$-1,078,381.83",0.0
