RF Industries PE Ratio Historical Data,RF Industries PE Ratio Historical Data,RF Industries PE Ratio Historical Data,RF Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.67,,0.0
2024-10-31,4.14,$-0.63,0.0
2024-07-31,4.17,$-0.69,0.0
2024-04-30,2.86,$-0.78,0.0
2024-01-31,3.08,$-0.31,0.0
2023-10-31,2.96,$-0.29,0.0
2023-07-31,3.78,$-0.17,0.0
2023-04-30,4.06,$0.07,57.93
2023-01-31,5.32,$0.06,88.67
2022-10-31,5.41,$0.14,38.64
2022-07-31,6.98,$0.18,38.78
2022-04-30,6.62,$0.19,34.84
2022-01-31,7.22,$0.62,11.65
2021-10-31,7.61,$0.61,12.48
2021-07-31,9.57,$0.55,17.4
2021-04-30,6.45,$0.45,14.33
2021-01-31,5.87,$-0.05,0.0
2020-10-31,4.28,$-0.01,0.0
2020-07-31,4.47,$0.05,89.4
2020-04-30,5.55,$0.17,32.65
2020-01-31,5.96,$0.30,19.87
2019-10-31,5.89,$0.37,15.93
2019-07-31,8.13,$0.34,23.92
2019-04-30,7.47,$0.41,18.22
2019-01-31,8.05,$0.64,12.58
2018-10-31,7.61,$0.62,12.28
2018-07-31,9.74,$0.60,16.23
2018-04-30,5.51,$0.44,12.53
2018-01-31,3.06,$0.11,27.82
2017-10-31,2.36,$0.04,59.05
2017-07-31,1.77,$-0.33,0.0
2017-04-30,1.51,$-0.42,0.0
2017-01-31,1.49,$-0.44,0.0
2016-10-31,1.61,$-0.46,0.0
2016-07-31,2.09,$-0.09,0.0
2016-04-30,2.26,$0.00,0.0
2016-01-31,3.7,$0.06,61.74
2015-10-31,3.98,$0.11,36.19
2015-07-31,3.71,$0.12,30.93
2015-04-30,3.51,$0.14,25.06
2015-01-31,3.78,$0.14,26.98
2014-10-31,3.75,$0.16,23.42
2014-07-31,4.35,$0.15,29.02
2014-04-30,4.92,$0.22,22.39
2014-01-31,5.28,$0.31,17.02
2013-10-31,7.27,$0.47,15.47
2013-07-31,4.77,$0.59,8.09
2013-04-30,4.64,$0.58,8.01
2013-01-31,4.18,$0.52,8.05
2012-10-31,3.3,$0.35,9.44
2012-07-31,3.02,$0.19,15.88
2012-04-30,2.74,$0.10,27.41
2012-01-31,2.75,$0.08,34.4
2011-10-31,2.25,$0.11,20.42
2011-07-31,2.91,$0.19,15.73
2011-04-30,2.5,$0.23,11.1
2011-01-31,2.39,$0.22,11.1
2010-10-31,2.21,$0.19,11.65
2010-07-31,1.74,$0.17,10.55
2010-04-30,1.65,$0.12,14.32
2010-01-31,1.51,$0.10,15.14
2009-10-31,1.31,$0.10,13.13
