Service Properties Trust PE Ratio Historical Data,Service Properties Trust PE Ratio Historical Data,Service Properties Trust PE Ratio Historical Data,Service Properties Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.94,,0.0
2024-12-31,2.54,$-1.67,0.0
2024-09-30,4.55,$-1.47,0.0
2024-06-30,4.95,$-1.22,0.0
2024-03-31,6.32,$-0.84,0.0
2023-12-31,7.77,$-0.20,0.0
2023-09-30,6.8,$-0.13,0.0
2023-06-30,7.51,$-0.05,0.0
2023-03-31,8.43,$0.09,93.64
2022-12-31,6.02,$-0.80,0.0
2022-09-30,4.17,$-1.82,0.0
2022-06-30,4.2,$-2.23,0.0
2022-03-31,7.08,$-2.85,0.0
2021-12-31,7.04,$-3.31,0.0
2021-09-30,8.97,$-2.94,0.0
2021-06-30,10.08,$-3.20,0.0
2021-03-31,9.48,$-2.88,0.0
2020-12-31,9.17,$-1.89,0.0
2020-09-30,6.34,$-1.14,0.0
2020-06-30,5.65,$-0.28,0.0
2020-03-31,4.29,$-0.00,0.0
2019-12-31,18.9,$-1.17,0.0
2019-09-30,19.61,$-1.74,0.0
2019-06-30,18.6,$-1.27,0.0
2019-03-31,19.18,$-0.73,0.0
2018-12-31,17.06,$1.13,15.09
2018-09-30,20.6,$1.98,10.4
2018-06-30,20.05,$1.79,11.2
2018-03-31,17.39,$1.57,11.08
2017-12-31,20.12,$1.24,16.23
2017-09-30,18.86,$1.40,13.47
2017-06-30,18.95,$1.18,16.06
2017-03-31,20.17,$1.15,17.54
2016-12-31,19.98,$1.30,15.37
2016-09-30,18.38,$0.79,23.26
2016-06-30,17.52,$0.86,20.38
2016-03-31,15.85,$1.04,15.24
2015-12-31,15.25,$0.97,15.72
2015-09-30,14.53,$1.47,9.89
2015-06-30,16.1,$1.39,11.58
2015-03-31,18.14,$1.20,15.11
2014-12-31,16.79,$1.18,14.23
2014-09-30,14.29,$1.03,13.88
2014-06-30,15.92,$0.86,18.52
2014-03-31,14.8,$0.80,18.49
2013-12-31,13.68,$0.73,18.73
2013-09-30,14.09,$0.69,20.42
2013-06-30,12.87,$0.81,15.89
2013-03-31,13.22,$0.76,17.39
2012-12-31,11.08,$0.84,13.19
2012-09-30,11.03,$0.94,11.73
2012-06-30,11.27,$1.02,11.05
2012-03-31,11.85,$1.16,10.21
2011-12-31,10.1,$1.30,7.77
2011-09-30,9.15,$0.24,38.14
2011-06-30,10.27,$0.27,38.05
2011-03-31,9.63,$0.04,240.68
2010-12-31,9.41,$-0.06,0.0
2010-09-30,8.95,$0.96,9.32
2010-06-30,8.27,$0.95,8.71
2010-03-31,9.23,$1.28,7.21
2009-12-31,8.96,$1.58,5.67
