American States Water PE Ratio Historical Data,American States Water PE Ratio Historical Data,American States Water PE Ratio Historical Data,American States Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,75.62,,23.85
2024-12-31,77.72,$3.17,24.52
2024-09-30,82.84,$2.97,27.89
2024-06-30,71.77,$2.87,25.01
2024-03-31,71.05,$3.06,23.22
2023-12-31,78.66,$3.37,23.34
2023-09-30,76.55,$3.32,23.06
2023-06-30,84.23,$3.16,26.66
2023-03-31,85.68,$2.66,32.21
2022-12-31,88.84,$2.11,42.1
2022-09-30,74.51,$2.16,34.5
2022-06-30,77.57,$2.23,34.78
2022-03-31,84.32,$2.41,34.99
2021-12-31,97.56,$2.55,38.26
2021-09-30,80.34,$2.54,31.63
2021-06-30,74.44,$2.50,29.78
2021-03-31,70.45,$2.47,28.52
2020-12-31,73.77,$2.33,31.66
2020-09-30,69.23,$2.24,30.91
2020-06-30,72.33,$2.28,31.72
2020-03-31,74.89,$2.31,32.42
2019-12-31,79.11,$2.28,34.7
2019-09-30,81.76,$2.20,37.16
2019-06-30,68.21,$2.06,33.11
2019-03-31,64.39,$1.78,36.18
2018-12-31,60.31,$1.72,35.06
2018-09-30,54.76,$1.70,32.21
2018-06-30,50.96,$1.65,30.89
2018-03-31,47.09,$1.83,25.73
2017-12-31,51.14,$1.88,27.2
2017-09-30,43.29,$1.83,23.66
2017-06-30,41.46,$1.85,22.41
2017-03-31,38.53,$1.68,22.94
2016-12-31,39.41,$1.62,24.33
2016-09-30,34.43,$1.63,21.13
2016-06-30,37.48,$1.60,23.42
2016-03-31,33.47,$1.56,21.46
2015-12-31,35.51,$1.60,22.19
2015-09-30,34.85,$1.64,21.25
2015-06-30,31.29,$1.62,19.31
2015-03-31,33.19,$1.60,20.75
2014-12-31,31.17,$1.56,19.98
2014-09-30,25.03,$1.51,16.57
2014-06-30,27.15,$1.50,18.1
2014-03-31,26.2,$1.54,17.07
2013-12-31,23.14,$1.60,14.46
2013-09-30,22.04,$1.57,14.08
2013-06-30,21.32,$1.52,14.03
2013-03-31,22.72,$1.49,15.25
2012-12-31,18.81,$1.41,13.34
2012-09-30,17.27,$1.32,13.09
2012-06-30,15.27,$1.25,12.21
2012-03-31,13.83,$1.28,10.81
2011-12-31,13.26,$1.22,10.91
2011-09-30,12.79,$1.28,9.99
2011-06-30,12.96,$1.04,12.46
2011-03-31,13.3,$0.86,15.55
2010-12-31,12.68,$0.88,14.41
2010-09-30,13.08,$0.73,17.91
2010-06-30,12.02,$0.82,14.75
2010-03-31,12.5,$0.90,13.96
2009-12-31,12.65,$0.81,15.62
