Minerals Technologies PE Ratio Historical Data,Minerals Technologies PE Ratio Historical Data,Minerals Technologies PE Ratio Historical Data,Minerals Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.17,,12.97
2024-12-31,76.21,$5.18,14.71
2024-09-30,77.12,$4.72,16.34
2024-06-30,82.93,$2.68,30.94
2024-03-31,75.07,$2.89,25.98
2023-12-31,71.01,$2.59,27.42
2023-09-30,54.43,$1.99,27.35
2023-06-30,57.29,$2.99,19.16
2023-03-31,59.95,$3.53,16.98
2022-12-31,60.2,$3.72,16.18
2022-09-30,48.94,$4.33,11.3
2022-06-30,60.71,$5.14,11.81
2022-03-31,65.42,$5.01,13.06
2021-12-31,72.29,$4.85,14.91
2021-09-30,68.98,$4.53,15.23
2021-06-30,77.65,$4.14,18.76
2021-03-31,74.3,$3.33,22.31
2020-12-31,61.23,$3.28,18.67
2020-09-30,50.32,$3.20,15.73
2020-06-30,46.17,$3.45,13.38
2020-03-31,35.64,$3.78,9.43
2019-12-31,56.59,$3.77,15.01
2019-09-30,52.09,$4.16,12.52
2019-06-30,52.45,$4.26,12.31
2019-03-31,57.57,$4.75,12.12
2018-12-31,50.23,$4.76,10.55
2018-09-30,66.08,$5.66,11.67
2018-06-30,73.6,$5.65,13.03
2018-03-31,65.35,$5.62,11.63
2017-12-31,67.15,$5.47,12.28
2017-09-30,68.86,$4.39,15.69
2017-06-30,71.29,$4.40,16.2
2017-03-31,74.55,$3.79,19.67
2016-12-31,75.14,$3.79,19.83
2016-09-30,68.71,$3.23,21.27
2016-06-30,55.17,$2.88,19.16
2016-03-31,55.17,$3.04,18.15
2015-12-31,44.46,$3.08,14.44
2015-09-30,46.65,$3.21,14.53
2015-06-30,65.93,$3.44,19.16
2015-03-31,70.68,$3.21,22.02
2014-12-31,67.11,$2.65,25.32
2014-09-30,59.59,$2.69,22.15
2014-06-30,63.28,$2.26,28.0
2014-03-31,62.24,$2.22,28.04
2013-12-31,57.86,$2.30,25.16
2013-09-30,47.51,$2.15,22.1
2013-06-30,39.74,$2.05,19.43
2013-03-31,39.86,$2.11,18.89
2012-12-31,38.28,$2.09,18.36
2012-09-30,33.97,$2.14,15.87
2012-06-30,30.52,$2.05,14.89
2012-03-31,31.28,$1.95,16.08
2011-12-31,27.01,$1.87,14.44
2011-09-30,23.52,$1.74,13.52
2011-06-30,31.62,$1.76,18.01
2011-03-31,32.65,$1.81,18.04
2010-12-31,31.15,$1.79,17.4
2010-09-30,28.03,$1.48,19.01
2010-06-30,22.6,$1.26,17.94
2010-03-31,24.62,$-0.34,0.0
2009-12-31,25.84,$-0.64,0.0
