IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,183.73,,27.63
2024-12-31,209.29,$6.65,31.47
2024-09-30,213.8,$6.46,33.1
2024-06-30,199.87,$7.64,26.16
2024-03-31,241.66,$7.60,31.8
2023-12-31,214.35,$7.84,27.34
2023-09-30,204.74,$8.12,25.21
2023-06-30,211.23,$7.73,27.33
2023-03-31,226.01,$7.72,29.28
2022-12-31,222.8,$7.71,28.9
2022-09-30,194.44,$7.55,25.75
2022-06-30,176.13,$6.70,26.29
2022-03-31,185.32,$6.23,29.75
2021-12-31,227.88,$5.88,38.75
2021-09-30,199.05,$5.65,35.23
2021-06-30,211.14,$5.51,38.32
2021-03-31,200.36,$5.10,39.29
2020-12-31,190.2,$4.95,38.42
2020-09-30,173.71,$4.89,35.52
2020-06-30,150.05,$4.89,30.69
2020-03-31,130.69,$5.44,24.02
2019-12-31,162.29,$5.55,29.24
2019-09-30,154.14,$5.56,27.72
2019-06-30,161.44,$5.56,29.04
2019-03-31,141.84,$5.46,25.98
2018-12-31,117.65,$5.29,22.24
2018-09-30,139.94,$5.23,26.76
2018-06-30,126.38,$4.94,25.58
2018-03-31,131.55,$4.64,28.35
2017-12-31,121.49,$4.36,27.87
2017-09-30,111.49,$3.90,28.59
2017-06-30,103.39,$3.73,27.72
2017-03-31,85.25,$3.64,23.42
2016-12-31,81.8,$3.54,23.11
2016-09-30,84.66,$3.67,23.07
2016-06-30,73.98,$3.78,19.57
2016-03-31,74.38,$3.68,20.21
2015-12-31,68.44,$3.63,18.85
2015-09-30,63.43,$3.52,18.02
2015-06-30,69.62,$3.38,20.6
2015-03-31,66.9,$3.37,19.85
2014-12-31,68.41,$3.44,19.89
2014-09-30,63.34,$3.49,18.15
2014-06-30,70.42,$3.39,20.77
2014-03-31,63.33,$3.27,19.37
2013-12-31,63.96,$3.10,20.63
2013-09-30,56.31,$0.83,67.84
2013-06-30,46.25,$0.65,71.16
2013-03-31,45.71,$0.54,84.65
2012-12-31,39.65,$0.42,94.41
2012-09-30,35.42,$2.44,14.52
2012-06-30,32.87,$2.42,13.58
2012-03-31,35.36,$2.37,14.92
2011-12-31,31.01,$2.33,13.31
2011-09-30,25.91,$2.26,11.46
2011-06-30,37.98,$2.15,17.66
2011-03-31,36.01,$2.04,17.65
2010-12-31,32.15,$1.91,16.83
2010-09-30,29.07,$1.81,16.06
2010-06-30,23.27,$1.71,13.61
2010-03-31,26.84,$1.56,17.21
2009-12-31,25.17,$1.39,18.11
