Hepion Pharmaceuticals PE Ratio Historical Data,Hepion Pharmaceuticals PE Ratio Historical Data,Hepion Pharmaceuticals PE Ratio Historical Data,Hepion Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.83,,0.0
2024-09-30,0.67,$-4.38,0.0
2024-06-30,1.02,$-6.40,0.0
2024-03-31,2.49,$-9.40,0.0
2023-12-31,3.24,$-12.32,0.0
2023-09-30,4.99,$-9.90,0.0
2023-06-30,10.5,$-9.36,0.0
2023-03-31,15.53,$-10.88,0.0
2022-12-31,6.01,$-9.20,0.0
2022-09-30,10.1,$-11.80,0.0
2022-06-30,11.45,$-12.00,0.0
2022-03-31,25.8,$-8.80,0.0
2021-12-31,22.8,$-9.40,0.0
2021-09-30,30.6,$-6.80,0.0
2021-06-30,39.6,$-18.20,0.0
2021-03-31,36.8,$-27.80,0.0
2020-12-31,43.8,$-44.80,0.0
2020-09-30,62.2,$-44.80,0.0
2020-06-30,57.2,$-41.60,0.0
2020-03-31,35.4,$-179.60,0.0
2019-12-31,107.2,$-162.40,0.0
2019-09-30,48.4,$-165.80,0.0
2019-06-30,83.4,"$-1,036.32",0.0
2019-03-31,315.0,"$-1,418.19",0.0
2018-12-31,394.8,"$-1,751.65",0.0
2018-09-30,785.4,"$-1,748.25",0.0
2018-06-30,1820.0,$-867.13,0.0
2018-03-31,2632.0,$-335.66,0.0
2017-12-31,4032.0,"$-1,342.66",0.0
2017-09-30,5824.0,"$-2,237.76",0.0
2017-06-30,6496.0,"$-3,692.31",0.0
2017-03-31,19824.0,"$-3,692.31",0.0
2016-12-31,13440.0,"$-3,916.08",0.0
2016-09-30,11984.0,"$-4,251.75",0.0
2016-06-30,11648.0,"$-5,258.74",0.0
2016-03-31,13552.0,"$-5,258.74",0.0
2015-12-31,17248.0,"$-7,384.62",0.0
2015-09-30,23408.0,"$-6,153.85",0.0
2015-06-30,56896.0,"$-3,692.31",0.0
2015-03-31,34496.0,"$-3,692.31",0.0
2014-12-31,24864.0,0,0.0
