Perspective Therapeutics PE Ratio Historical Data,Perspective Therapeutics PE Ratio Historical Data,Perspective Therapeutics PE Ratio Historical Data,Perspective Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.49,,0.0
2024-09-30,13.35,$-0.59,0.0
2024-06-30,9.97,$-0.78,0.0
2024-03-31,11.9,$-1.00,0.0
2023-12-31,4.02,$-0.80,0.0
2023-09-30,2.74,$-0.80,0.0
2023-06-30,6.68,$-0.70,0.0
2023-03-31,6.38,$-0.40,0.0
2022-12-31,2.47,$-0.50,0.0
2022-09-30,2.3,$-0.60,0.0
2022-06-30,3.09,$-0.50,0.0
2022-03-31,3.63,$-0.40,0.0
2021-12-31,3.88,$-0.40,0.0
2021-09-30,6.31,$-0.40,0.0
2021-06-30,7.98,$-0.30,0.0
2021-03-31,10.9,$-0.30,0.0
2020-12-31,4.5,$-0.30,0.0
2020-09-30,5.83,$-0.30,0.0
2020-06-30,5.56,$-0.30,0.0
2020-03-31,5.3,$-0.30,0.0
2019-12-31,6.24,$-0.40,0.0
2019-09-30,3.21,$-0.50,0.0
2019-06-30,4.1,$-0.60,0.0
2019-03-31,3.65,$-0.60,0.0
2018-12-31,3.0,$-0.60,0.0
2018-09-30,5.19,$-0.70,0.0
2018-06-30,4.5,$-0.80,0.0
2018-03-31,4.21,$-0.80,0.0
2017-12-31,3.99,$-0.80,0.0
2017-09-30,5.17,$-0.80,0.0
2017-06-30,6.25,$-0.80,0.0
2017-03-31,5.9,$-0.80,0.0
2016-12-31,5.8,$-0.80,0.0
2016-09-30,7.2,$-0.70,0.0
2016-06-30,8.7,$-0.60,0.0
2016-03-31,9.0,$-0.60,0.0
2015-12-31,9.38,$-0.60,0.0
2015-09-30,14.0,$-0.60,0.0
2015-06-30,14.8,$-0.40,0.0
2015-03-31,15.7,$-0.40,0.0
2014-12-31,14.6,$-0.70,0.0
2014-09-30,16.9,$-0.70,0.0
2014-06-30,31.2,$-1.30,0.0
2014-03-31,22.0,$-1.30,0.0
2013-12-31,5.0,$-1.00,0.0
2013-09-30,6.65,$-1.10,0.0
2013-06-30,4.8,$-0.80,0.0
2013-03-31,5.4,$-0.80,0.0
2012-12-31,7.8,$-0.80,0.0
2012-09-30,7.2,$-0.70,0.0
2012-06-30,10.1,$-0.80,0.0
2012-03-31,4.81,$-0.80,0.0
2011-12-31,6.6,$-1.00,0.0
2011-09-30,9.9,$-0.90,0.0
2011-06-30,9.35,$-0.90,0.0
2011-03-31,12.6,$-0.90,0.0
2010-12-31,11.3,$-1.00,0.0
2010-09-30,12.5,$-1.30,0.0
2010-06-30,14.3,$-1.30,0.0
2010-03-31,13.16,$-1.30,0.0
2009-12-31,8.9,$-1.40,0.0
