Seneca Foods PE Ratio Historical Data,Seneca Foods PE Ratio Historical Data,Seneca Foods PE Ratio Historical Data,Seneca Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,86.74,,15.83
2024-12-31,79.26,$5.48,14.46
2024-09-30,62.33,$5.83,10.69
2024-06-30,57.4,$7.22,7.95
2024-03-31,56.9,$8.43,6.75
2023-12-31,52.44,$7.55,6.95
2023-09-30,53.83,$7.84,6.87
2023-06-30,32.68,$6.58,4.97
2023-03-31,52.27,$4.19,12.47
2022-12-31,60.95,$6.16,9.89
2022-09-30,50.44,$5.56,9.07
2022-06-30,55.54,$4.84,11.48
2022-03-31,51.54,$5.77,8.93
2021-12-31,47.95,$6.62,7.24
2021-09-30,48.22,$12.38,3.89
2021-06-30,51.08,$13.04,3.92
2021-03-31,47.09,$13.73,3.43
2020-12-31,39.9,$14.40,2.77
2020-09-30,35.73,$9.23,3.87
2020-06-30,33.81,$7.75,4.36
2020-03-31,39.78,$5.63,7.07
2019-12-31,40.79,$2.44,16.72
2019-09-30,31.18,$1.14,27.35
2019-06-30,27.83,$1.57,17.73
2019-03-31,24.6,$0.55,44.73
2018-12-31,28.22,$-0.01,0.0
2018-09-30,33.7,$-0.66,0.0
2018-06-30,27.0,$-1.69,0.0
2018-03-31,27.7,$-0.88,0.0
2017-12-31,30.75,$0.41,75.0
2017-09-30,34.5,$0.45,76.67
2017-06-30,31.05,$1.18,26.31
2017-03-31,36.1,$1.26,28.65
2016-12-31,40.05,$2.81,14.25
2016-09-30,28.24,$5.09,5.55
2016-06-30,36.21,$5.12,7.07
2016-03-31,34.74,$5.42,6.41
2015-12-31,28.98,$4.30,6.74
2015-09-30,26.35,$1.91,13.8
2015-06-30,27.77,$1.21,22.95
2015-03-31,29.81,$0.91,32.76
2014-12-31,27.03,$0.56,48.27
2014-09-30,28.6,$0.46,62.17
2014-06-30,30.6,$1.10,27.82
2014-03-31,31.48,$1.23,25.59
2013-12-31,31.89,$1.67,19.1
2013-09-30,30.09,$2.38,12.64
2013-06-30,30.68,$3.01,10.19
2013-03-31,33.02,$3.56,9.28
2012-12-31,30.4,$3.03,10.03
2012-09-30,29.86,$3.23,9.24
2012-06-30,26.9,$2.25,11.96
2012-03-31,26.34,$0.92,28.63
2011-12-31,25.82,$0.95,27.18
2011-09-30,19.8,$0.37,53.51
2011-06-30,25.58,$0.36,71.06
2011-03-31,29.87,$1.45,20.6
2010-12-31,26.98,$2.11,12.79
2010-09-30,26.19,$2.69,9.74
2010-06-30,32.26,$3.48,9.27
2010-03-31,29.12,$3.96,7.35
2009-12-31,23.87,$3.67,6.5
