Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,624.72,,25.86
2024-12-31,636.03,$24.16,26.33
2024-09-30,630.34,$22.14,28.47
2024-06-30,503.23,$21.79,23.09
2024-03-31,551.35,$21.22,25.98
2023-12-31,455.72,$20.20,22.56
2023-09-30,383.95,$18.01,21.32
2023-06-30,383.06,$16.00,23.94
2023-03-31,328.59,$11.55,28.45
2022-12-31,283.42,$9.68,29.28
2022-09-30,234.97,$9.61,24.45
2022-06-30,237.45,$10.08,23.56
2022-03-31,272.45,$12.93,21.07
2021-12-31,304.41,$13.85,21.98
2021-09-30,266.73,$14.29,18.67
2021-06-30,291.97,$13.31,21.94
2021-03-31,298.9,$11.74,25.46
2020-12-31,257.31,$10.98,23.43
2020-09-30,190.42,$9.14,20.83
2020-06-30,171.75,$9.27,18.53
2020-03-31,120.89,$10.17,11.89
2019-12-31,191.0,$10.48,18.23
2019-09-30,166.87,$11.27,14.81
2019-06-30,156.2,$11.46,13.63
2019-03-31,156.88,$10.91,14.38
2018-12-31,135.69,$10.47,12.96
2018-09-30,166.61,$8.52,19.55
2018-06-30,140.56,$7.83,17.95
2018-03-31,153.58,$7.36,20.87
2017-12-31,178.54,$6.41,27.85
2017-09-30,156.01,$7.78,20.05
2017-06-30,141.86,$7.23,19.62
2017-03-31,141.72,$6.85,20.69
2016-12-31,123.2,$6.47,19.04
2016-09-30,109.92,$6.02,18.26
2016-06-30,94.14,$5.88,16.01
2016-03-31,96.24,$5.38,17.89
2015-12-31,83.5,$6.03,13.85
2015-09-30,83.28,$6.50,12.81
2015-06-30,98.96,$6.94,14.26
2015-03-31,100.52,$7.65,13.14
2014-12-31,108.56,$7.23,15.01
2014-09-30,95.63,$7.09,13.49
2014-06-30,104.89,$6.85,15.31
2014-03-31,99.48,$6.65,14.96
2013-12-31,106.46,$6.73,15.82
2013-09-30,89.63,$6.26,14.32
2013-06-30,78.3,$6.22,12.59
2013-03-31,74.81,$6.40,11.69
2012-12-31,69.16,$6.73,10.28
2012-09-30,67.6,$7.10,9.52
2012-06-30,61.87,$7.44,8.32
2012-03-31,67.72,$7.27,9.31
2011-12-31,60.8,$6.94,8.76
2011-09-30,50.12,$6.77,7.4
2011-06-30,70.85,$6.37,11.12
2011-03-31,74.44,$5.94,12.53
2010-12-31,67.61,$5.20,13.0
2010-09-30,54.69,$4.45,12.29
2010-06-30,43.11,$3.39,12.72
2010-03-31,50.13,$2.34,21.42
2009-12-31,41.54,$1.73,24.01
