Open Text PE Ratio Historical Data,Open Text PE Ratio Historical Data,Open Text PE Ratio Historical Data,Open Text PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.39,,10.73
2024-12-31,28.32,$2.46,11.51
2024-09-30,33.0,$1.73,19.07
2024-06-30,29.54,$1.71,17.27
2024-03-31,37.86,$0.62,61.06
2023-12-31,40.71,$0.47,86.61
2023-09-30,33.79,$1.29,26.19
2023-06-30,39.75,$0.56,70.99
2023-03-31,36.67,$1.12,32.74
2022-12-31,28.0,$1.19,23.53
2022-09-30,24.77,$0.55,45.03
2022-06-30,35.08,$1.46,24.03
2022-03-31,39.1,$1.74,22.47
2021-12-31,43.56,$1.79,24.33
2021-09-30,44.5,$1.23,36.18
2021-06-30,46.2,$1.13,40.89
2021-03-31,43.21,$0.57,75.8
2020-12-31,40.99,$0.34,120.54
2020-09-30,37.91,$0.98,38.69
2020-06-30,37.98,$0.87,43.66
2020-03-31,31.09,$1.04,29.89
2019-12-31,39.07,$1.21,32.29
2019-09-30,36.04,$1.20,30.03
2019-06-30,36.22,$1.06,34.17
2019-03-31,33.64,$1.02,32.98
2018-12-31,28.42,$0.97,29.3
2018-09-30,33.16,$0.90,36.85
2018-06-30,30.56,$0.91,33.58
2018-03-31,30.09,$0.85,35.4
2017-12-31,30.73,$0.71,43.28
2017-09-30,27.7,$0.57,48.6
2017-06-30,26.95,$4.16,6.48
2017-03-31,28.94,$4.35,6.66
2016-12-31,26.21,$4.55,5.76
2016-09-30,27.4,$4.73,5.79
2016-06-30,24.9,$1.17,21.28
2016-03-31,21.72,$1.10,19.83
2015-12-31,20.01,$0.92,21.75
2015-09-30,18.61,$0.86,21.64
2015-06-30,16.78,$0.96,17.57
2015-03-31,21.79,$1.04,21.05
2014-12-31,23.93,$1.12,21.46
2014-09-30,22.7,$1.04,21.83
2014-06-30,19.58,$0.91,21.63
2014-03-31,19.41,$0.72,26.87
2013-12-31,18.65,$0.64,29.03
2013-09-30,15.09,$0.68,22.27
2013-06-30,13.78,$0.63,21.87
2013-03-31,11.83,$0.49,24.26
2012-12-31,11.2,$0.53,21.33
2012-09-30,11.05,$0.47,23.63
2012-06-30,10.0,$0.54,18.69
2012-03-31,12.25,$0.62,19.69
2011-12-31,10.25,$0.63,16.33
2011-09-30,10.44,$0.59,17.85
2011-06-30,12.83,$0.53,24.32
2011-03-31,12.49,$0.63,19.9
2010-12-31,9.23,$0.53,17.33
2010-09-30,9.43,$0.47,20.27
2010-06-30,7.52,$0.38,19.79
2010-03-31,9.51,$0.25,38.43
2009-12-31,8.14,$0.29,27.85
