Magic Software Enterprises PE Ratio Historical Data,Magic Software Enterprises PE Ratio Historical Data,Magic Software Enterprises PE Ratio Historical Data,Magic Software Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.44,,19.2
2024-09-30,11.82,$0.70,16.89
2024-06-30,9.63,$0.68,14.16
2024-03-31,11.21,$0.73,15.36
2023-12-31,9.49,$0.75,12.65
2023-09-30,11.06,$0.78,14.17
2023-06-30,12.67,$0.86,14.73
2023-03-31,12.7,$0.79,16.07
2022-12-31,14.93,$0.79,18.9
2022-09-30,14.5,$0.64,22.65
2022-06-30,16.28,$0.56,29.08
2022-03-31,15.79,$0.56,28.19
2021-12-31,18.95,$0.51,37.17
2021-09-30,18.11,$0.57,31.78
2021-06-30,14.53,$0.56,25.95
2021-03-31,13.62,$0.52,26.19
2020-12-31,13.83,$0.49,28.23
2020-09-30,11.61,$0.35,33.16
2020-06-30,9.87,$0.31,31.85
2020-03-31,6.98,$0.27,25.84
2019-12-31,8.49,$0.26,32.64
2019-09-30,7.97,$0.35,22.78
2019-06-30,7.65,$0.35,21.86
2019-03-31,7.13,$0.39,18.28
2018-12-31,6.4,$0.38,16.83
2018-09-30,7.12,$0.41,17.38
2018-06-30,6.84,$0.40,17.09
2018-03-31,7.0,$0.36,19.45
2017-12-31,6.8,$0.36,18.88
2017-09-30,7.06,$0.27,26.14
2017-06-30,6.34,$0.27,23.49
2017-03-31,6.22,$0.28,22.22
2016-12-31,5.26,$0.26,20.24
2016-09-30,5.63,$0.34,16.56
2016-06-30,5.18,$0.34,15.22
2016-03-31,5.28,$0.34,15.54
2015-12-31,4.26,$0.36,11.84
2015-09-30,4.18,$0.34,12.31
2015-06-30,5.06,$0.35,14.45
2015-03-31,4.94,$0.35,14.1
2014-12-31,4.46,$0.36,12.4
2014-09-30,5.2,$0.43,12.09
2014-06-30,5.55,$0.44,12.6
2014-03-31,5.97,$0.44,13.56
2013-12-31,5.24,$0.42,12.47
2013-09-30,5.03,$0.41,12.26
2013-06-30,3.88,$0.41,9.47
2013-03-31,3.76,$0.42,8.95
2012-12-31,3.3,$0.44,7.5
2012-09-30,3.09,$0.44,7.02
2012-06-30,3.81,$0.44,8.66
2012-03-31,4.41,$0.44,10.02
2011-12-31,3.55,$0.41,8.66
2011-09-30,2.82,$0.38,7.43
2011-06-30,3.42,$0.35,9.77
2011-03-31,5.19,$0.31,16.73
2010-12-31,4.24,$0.29,14.64
2010-09-30,1.72,$0.31,5.54
2010-06-30,1.44,$0.26,5.55
2010-03-31,1.75,$0.23,7.62
2009-12-31,1.27,$0.19,6.69
