Carpenter Technology PE Ratio Historical Data,Carpenter Technology PE Ratio Historical Data,Carpenter Technology PE Ratio Historical Data,Carpenter Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,186.18,,35.13
2024-12-31,169.71,$5.30,32.02
2024-09-30,159.38,$4.49,35.5
2024-06-30,109.29,$3.70,29.54
2024-03-31,71.05,$2.63,27.01
2023-12-31,70.22,$2.89,24.3
2023-09-30,66.44,$2.17,30.62
2023-06-30,55.29,$1.15,48.08
2023-03-31,43.92,$0.42,104.58
2022-12-31,36.1,$-0.12,0.0
2022-09-30,30.26,$-0.86,0.0
2022-06-30,26.98,$-1.03,0.0
2022-03-31,40.36,$-2.26,0.0
2021-12-31,27.87,$-2.94,0.0
2021-09-30,31.06,$-4.09,0.0
2021-06-30,37.93,$-4.76,0.0
2021-03-31,38.61,$-6.04,0.0
2020-12-31,27.15,$-4.38,0.0
2020-09-30,16.74,$-1.83,0.0
2020-06-30,22.18,0,0.0
2020-03-31,17.65,$3.46,5.1
2019-12-31,44.83,$3.69,12.15
2019-09-30,46.34,$3.63,12.76
2019-06-30,43.04,$3.43,12.55
2019-03-31,40.96,$3.31,12.38
2018-12-31,31.68,$2.89,10.96
2018-09-30,52.24,$4.08,12.8
2018-06-30,46.43,$3.92,11.84
2018-03-31,38.84,$3.58,10.85
2017-12-31,44.71,$3.39,13.19
2017-09-30,41.96,$1.62,25.9
2017-06-30,32.55,$1.00,32.55
2017-03-31,32.29,$0.78,41.4
2016-12-31,31.18,$-0.17,0.0
2016-09-30,35.41,$-0.09,0.0
2016-06-30,28.12,$0.22,127.82
2016-03-31,29.08,$0.34,85.54
2015-12-31,25.56,$0.82,31.16
2015-09-30,24.99,$1.04,24.03
2015-06-30,32.32,$1.11,29.12
2015-03-31,32.35,$1.38,23.44
2014-12-31,40.8,$1.98,20.61
2014-09-30,37.26,$2.08,17.92
2014-06-30,52.03,$2.48,20.98
2014-03-31,54.17,$2.54,21.33
2013-12-31,50.86,$2.59,19.64
2013-09-30,47.38,$2.66,17.81
2013-06-30,36.63,$2.75,13.32
2013-03-31,39.91,$2.75,14.51
2012-12-31,41.66,$2.82,14.77
2012-09-30,42.07,$2.72,15.47
2012-06-30,38.33,$2.51,15.27
2012-03-31,41.71,$2.31,18.06
2011-12-31,40.98,$2.26,18.13
2011-09-30,35.6,$1.95,18.26
2011-06-30,45.58,$1.59,28.66
2011-03-31,33.63,$1.15,29.24
2010-12-31,31.55,$0.56,56.33
2010-09-30,26.3,$0.43,61.15
2010-06-30,25.46,$0.05,509.26
2010-03-31,28.26,$-0.56,0.0
2009-12-31,20.67,$-0.31,0.0
