Business First Bancshares PE Ratio Historical Data,Business First Bancshares PE Ratio Historical Data,Business First Bancshares PE Ratio Historical Data,Business First Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.71,,10.93
2024-12-31,25.7,$2.26,11.37
2024-09-30,25.54,$2.32,11.01
2024-06-30,21.52,$2.43,8.85
2024-03-31,21.89,$2.54,8.62
2023-12-31,24.06,$2.60,9.25
2023-09-30,18.19,$2.70,6.74
2023-06-30,14.53,$2.55,5.7
2023-03-31,16.37,$2.43,6.74
2022-12-31,21.04,$2.30,9.15
2022-09-30,20.36,$2.22,9.17
2022-06-30,20.05,$2.11,9.5
2022-03-31,22.76,$2.34,9.73
2021-12-31,26.37,$2.52,10.46
2021-09-30,21.7,$2.60,8.34
2021-06-30,21.18,$2.56,8.27
2021-03-31,21.97,$1.83,12.01
2020-12-31,18.61,$1.58,11.78
2020-09-30,13.64,$1.33,10.25
2020-06-30,13.86,$1.27,10.91
2020-03-31,12.08,$1.66,7.28
2019-12-31,22.23,$1.73,12.85
2019-09-30,21.67,$1.59,13.63
2019-06-30,22.6,$1.52,14.87
2019-03-31,21.71,$1.35,16.08
