Amedisys PE Ratio Historical Data,Amedisys PE Ratio Historical Data,Amedisys PE Ratio Historical Data,Amedisys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,92.77,,70.82
2024-12-31,90.79,$1.31,69.31
2024-09-30,96.51,$2.52,38.3
2024-06-30,91.8,$2.80,32.79
2024-03-31,92.16,$-0.64,0.0
2023-12-31,95.06,$-0.31,0.0
2023-09-30,93.4,$0.07,1334.29
2023-06-30,91.44,$0.07,1306.29
2023-03-31,73.55,$3.44,21.38
2022-12-31,83.54,$3.64,22.95
2022-09-30,96.79,$3.71,26.09
2022-06-30,105.12,$4.29,24.5
2022-03-31,172.29,$5.81,29.65
2021-12-31,161.88,$6.34,25.53
2021-09-30,149.1,$6.66,22.39
2021-06-30,244.93,$7.45,32.88
2021-03-31,264.79,$6.06,43.69
2020-12-31,293.33,$5.52,53.14
2020-09-30,236.43,$4.99,47.38
2020-06-30,198.54,$3.86,51.44
2020-03-31,183.54,$3.84,47.8
2019-12-31,166.92,$3.83,43.58
2019-09-30,131.01,$3.84,34.12
2019-06-30,121.41,$3.77,32.2
2019-03-31,123.26,$3.73,33.05
2018-12-31,117.11,$3.57,32.8
2018-09-30,124.96,$2.62,47.69
2018-06-30,85.46,$2.08,41.09
2018-03-31,60.34,$1.23,49.06
2017-12-31,52.71,$0.88,59.9
2017-09-30,55.96,$1.25,44.77
2017-06-30,62.81,$1.17,53.68
2017-03-31,51.09,$1.36,37.57
2016-12-31,42.63,$1.11,38.41
2016-09-30,47.44,$1.23,38.57
2016-06-30,50.48,$1.14,44.28
2016-03-31,48.34,$1.14,42.4
2015-12-31,39.32,$-0.12,0.0
2015-09-30,37.97,$-0.22,0.0
2015-06-30,39.73,$-0.21,0.0
2015-03-31,26.78,$-0.30,0.0
2014-12-31,29.35,$0.38,77.24
2014-09-30,20.17,$-0.20,0.0
2014-06-30,16.74,$-3.35,0.0
2014-03-31,14.89,$-3.52,0.0
2013-12-31,14.63,$-3.04,0.0
2013-09-30,17.21,$-6.26,0.0
2013-06-30,11.6,$-3.04,0.0
2013-03-31,11.12,$-2.84,0.0
2012-12-31,11.31,$-2.75,0.0
2012-09-30,13.82,$0.92,15.02
2012-06-30,12.45,$-14.14,0.0
2012-03-31,14.46,$-13.65,0.0
2011-12-31,10.91,$-13.30,0.0
2011-09-30,14.82,$-12.68,0.0
2011-06-30,26.63,$2.81,9.48
2011-03-31,35.0,$3.19,10.97
2010-12-31,33.5,$3.95,8.48
2010-09-30,23.8,$4.53,5.25
2010-06-30,43.98,$5.06,8.69
2010-03-31,55.22,$5.20,10.62
2009-12-31,48.6,$4.90,9.92
