"SINTX TECHNOLOGIES, INC PE Ratio Historical Data","SINTX TECHNOLOGIES, INC PE Ratio Historical Data","SINTX TECHNOLOGIES, INC PE Ratio Historical Data","SINTX TECHNOLOGIES, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.88,,0.0
2024-12-31,3.5,$-32.56,0.0
2024-09-30,3.26,$-50.56,0.0
2024-06-30,4.8,$-205.61,0.0
2024-03-31,9.9,$-358.00,0.0
2023-12-31,76.28,$-684.00,0.0
2023-09-30,162.0,$-666.00,0.0
2023-06-30,246.0,$-504.00,0.0
2023-03-31,410.0,$-348.00,0.0
2022-12-31,1936.0,"$-2,400.00",0.0
2022-09-30,6400.0,"$-2,400.00",0.0
2022-06-30,8654.0,"$-2,400.00",0.0
2022-03-31,12200.0,"$-4,200.00",0.0
2021-12-31,12838.0,"$-1,800.00",0.0
2021-09-30,25600.0,"$-1,800.00",0.0
2021-06-30,38400.0,"$-4,000.00",0.0
2021-03-31,37400.0,"$-9,200.00",0.0
2020-12-31,31400.0,"$-39,800.00",0.0
2020-09-30,38400.0,"$-47,000.00",0.0
2020-06-30,38000.0,"$-63,000.00",0.0
2020-03-31,8026.0,"$-135,800.00",0.0
2019-12-31,29800.0,"$-147,242.04",0.0
2019-09-30,40200.0,"$-140,042.04",0.0
2019-06-30,51000.0,"$-644,364.54",0.0
2019-03-31,113999.99,"$-1,555,555.44",0.0
2018-12-31,107999.99,"$-2,114,114.00",0.0
2018-09-30,155039.99,"$-3,111,111.00",0.0
2018-06-30,566939.97,"$-3,147,147.10",0.0
2018-03-31,912059.95,"$-2,156,156.20",0.0
2017-12-31,1961999.9,"$-1,555,555.60",0.0
2017-09-30,2161439.82,"$-2,433,182.60",0.0
2017-06-30,2727359.78,"$-4,037,652.00",0.0
2017-03-31,2951999.76,"$-6,921,689.00",0.0
2016-12-31,4538159.63,"$-9,084,717.00",0.0
2016-09-30,6688799.45,"$-7,210,093.00",0.0
2016-06-30,9503999.22,"$-21,261,665.00",0.0
2016-03-31,11159999.08,"$-30,268,338.00",0.0
2015-12-31,12819598.31,"$-49,724,780.00",0.0
2015-09-30,33695995.55,"$-99,449,550.00",0.0
2015-06-30,61775991.85,"$-125,392,910.00",0.0
2015-03-31,37918794.99,"$-229,166,300.00",0.0
2014-12-31,86399988.6,"$-292,943,720.00",0.0
