Target PE Ratio Historical Data,Target PE Ratio Historical Data,Target PE Ratio Historical Data,Target PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,104.2,,11.76
2025-01-31,137.91,$8.86,15.57
2024-10-31,148.67,$9.43,15.77
2024-07-31,148.0,$9.68,15.29
2024-04-30,157.31,$8.91,17.66
2024-01-31,134.92,$8.93,15.11
2023-10-31,106.42,$7.84,13.57
2023-07-31,129.94,$7.28,17.85
2023-04-30,149.18,$5.87,25.41
2023-01-31,161.77,$5.98,27.05
2022-10-31,153.42,$7.30,21.02
2022-07-31,151.7,$8.80,17.24
2022-04-30,211.42,$12.06,17.53
2022-01-31,202.94,$14.07,14.42
2021-10-31,238.22,$13.59,17.53
2021-07-31,238.69,$12.56,19.0
2021-04-30,188.88,$12.26,15.41
2021-01-31,164.52,$8.65,19.02
2020-10-31,137.66,$7.55,18.23
2020-07-31,113.27,$6.93,16.35
2020-04-30,98.22,$5.40,18.19
2020-01-31,98.57,$6.37,15.47
2019-10-31,94.59,$6.26,15.11
2019-07-31,75.86,$6.04,12.56
2019-04-30,67.37,$5.71,11.8
2019-01-31,62.98,$5.51,11.43
2018-10-31,71.48,$6.01,11.89
2018-07-31,68.43,$5.72,11.96
2018-04-30,61.06,$5.45,11.2
2018-01-31,62.73,$5.35,11.73
2017-10-31,48.73,$4.78,10.2
2017-07-31,46.26,$4.96,9.33
2017-04-30,45.11,$4.90,9.21
2017-01-31,51.6,$4.72,10.93
2016-10-31,54.54,$5.59,9.76
2016-07-31,59.31,$5.40,10.98
2016-04-30,62.13,$5.42,11.46
2016-01-31,56.15,$5.35,10.49
2015-10-31,59.38,$-1.07,0.0
2015-07-31,62.53,$-1.39,0.0
2015-04-30,59.82,$-2.20,0.0
2015-01-31,55.48,$-2.52,0.0
2014-10-31,46.24,$2.39,19.35
2014-07-31,44.18,$2.38,18.56
2014-04-30,45.44,$2.96,15.35
2014-01-31,41.36,$3.07,13.47
2013-10-31,47.01,$3.73,12.6
2013-07-31,51.38,$4.15,12.38
2013-04-30,50.62,$4.26,11.88
2013-01-31,43.08,$4.53,9.51
2012-10-31,45.21,$4.51,10.02
2012-07-31,42.76,$4.37,9.79
2012-04-30,40.63,$4.34,9.36
2012-01-31,35.43,$4.29,8.26
2011-10-31,37.96,$4.29,8.85
2011-07-31,35.48,$4.21,8.43
2011-04-30,33.67,$4.10,8.21
2011-01-31,37.42,$4.01,9.33
2010-10-31,35.29,$3.80,9.29
2010-07-31,34.7,$3.64,9.53
2010-04-30,38.34,$3.51,10.92
2010-01-31,34.45,$3.30,10.44
2009-10-31,32.42,$2.87,11.3
