ElectroCore PE Ratio Historical Data,ElectroCore PE Ratio Historical Data,ElectroCore PE Ratio Historical Data,ElectroCore PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.03,,0.0
2024-12-31,16.21,$-1.22,0.0
2024-09-30,7.22,$-1.83,0.0
2024-06-30,6.43,$-2.20,0.0
2024-03-31,6.17,$-2.85,0.0
2023-12-31,5.95,$-3.56,0.0
2023-09-30,6.07,$-4.17,0.0
2023-06-30,4.9,$-4.69,0.0
2023-03-31,5.5,$-4.86,0.0
2022-12-31,3.85,$-4.82,0.0
2022-09-30,6.09,$-4.65,0.0
2022-06-30,7.65,$-4.35,0.0
2022-03-31,8.78,$-4.05,0.0
2021-12-31,8.74,$-4.50,0.0
2021-09-30,16.95,$-5.55,0.0
2021-06-30,17.85,$-6.15,0.0
2021-03-31,30.9,$-7.20,0.0
2020-12-31,23.4,$-9.60,0.0
2020-09-30,25.95,$-11.84,0.0
2020-06-30,12.33,$-15.74,0.0
2020-03-31,14.25,$-19.94,0.0
2019-12-31,23.85,$-22.94,0.0
2019-09-30,32.85,$-26.39,0.0
2019-06-30,30.0,$-27.74,0.0
2019-03-31,105.0,$-24.74,0.0
