Metalla Royalty & Streaming PE Ratio Historical Data,Metalla Royalty & Streaming PE Ratio Historical Data,Metalla Royalty & Streaming PE Ratio Historical Data,Metalla Royalty & Streaming PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,0.0
2024-09-30,3.09,$-0.08,0.0
2024-06-30,2.78,$-0.11,0.0
2024-03-31,3.11,$-0.10,0.0
2023-12-31,3.08,$-0.11,0.0
2023-09-30,3.06,$-0.19,0.0
2023-06-30,4.32,$-0.21,0.0
2023-03-31,5.56,$-0.23,0.0
2022-12-31,4.89,$-0.25,0.0
2022-09-30,3.86,$-0.21,0.0
2022-06-30,4.81,$-0.20,0.0
2022-03-31,7.04,$-0.23,0.0
2021-12-31,6.9,$-0.24,0.0
2021-09-30,6.77,$-0.17,0.0
2021-06-30,8.52,$-0.12,0.0
2021-03-31,8.84,$-0.06,0.0
