Navios Maritime Partners LP PE Ratio Historical Data,Navios Maritime Partners LP PE Ratio Historical Data,Navios Maritime Partners LP PE Ratio Historical Data,Navios Maritime Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.79,,3.09
2024-09-30,62.57,$13.18,4.75
2024-06-30,50.92,$12.89,3.95
2024-03-31,42.48,$13.24,3.21
2023-12-31,27.82,$14.08,1.98
2023-09-30,22.96,$13.62,1.69
2023-06-30,21.65,$19.06,1.14
2023-03-31,23.85,$19.24,1.24
2022-12-31,25.62,$18.80,1.36
2022-09-30,24.15,$18.85,1.28
2022-06-30,22.62,$16.45,1.37
2022-03-31,34.56,$16.93,2.04
2021-12-31,24.59,$25.84,0.95
2021-09-30,31.65,$17.56,1.8
2021-06-30,28.86,$12.24,2.36
2021-03-31,22.97,$6.61,3.47
2020-12-31,10.89,$-6.05,0.0
2020-09-30,5.81,$-7.38,0.0
2020-06-30,9.29,$-6.47,0.0
2020-03-31,4.89,$-5.74,0.0
2019-12-31,16.66,$-5.67,0.0
2019-09-30,15.63,$0.05,310.12
2019-06-30,11.67,$-0.59,0.0
2019-03-31,11.55,$-2.70,0.0
2018-12-31,10.56,$-1.35,0.0
2018-09-30,21.47,$-3.60,0.0
2018-06-30,22.97,$-3.60,0.0
2018-03-31,21.64,$-0.45,0.0
2017-12-31,28.38,$-1.80,0.0
2017-09-30,24.65,$0.15,164.44
2017-06-30,19.12,$-6.75,0.0
2017-03-31,24.89,$-10.20,0.0
2016-12-31,16.95,$-9.30,0.0
2016-09-30,16.71,$-7.65,0.0
2016-06-30,15.51,$0.30,51.74
2016-03-31,14.91,$5.25,2.84
2015-12-31,36.31,$7.20,5.05
2015-09-30,84.17,$8.25,10.21
2015-06-30,118.22,$8.70,13.6
2015-03-31,118.43,$12.29,9.63
2014-12-31,104.3,$13.94,7.48
2014-09-30,177.28,$13.49,13.14
2014-06-30,188.85,$13.94,13.54
2014-03-31,184.85,$12.74,14.51
2013-12-31,177.0,$12.74,13.89
2013-09-30,132.02,$20.54,6.43
2013-06-30,126.51,$23.09,5.48
2013-03-31,123.05,$23.09,5.33
2012-12-31,101.08,$23.99,4.21
2012-09-30,118.55,$19.49,6.08
2012-06-30,105.47,$19.34,5.45
2012-03-31,125.61,$19.34,6.49
2011-12-31,108.1,$20.09,5.38
2011-09-30,94.87,$20.54,4.62
2011-06-30,127.31,$20.99,6.07
2011-03-31,137.92,$22.19,6.22
2010-12-31,129.06,$22.79,5.66
2010-09-30,120.64,$22.94,5.26
2010-06-30,99.98,$23.84,4.19
2010-03-31,108.56,$21.59,5.03
2009-12-31,88.97,$22.94,3.88
