Carter's PE Ratio Historical Data,Carter's PE Ratio Historical Data,Carter's PE Ratio Historical Data,Carter's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.84,,7.99
2024-12-31,54.19,$5.11,10.6
2024-09-30,64.05,$6.30,10.17
2024-06-30,60.39,$6.46,9.35
2024-03-31,81.53,$6.34,12.86
2023-12-31,71.42,$6.27,11.39
2023-09-30,65.21,$5.48,11.9
2023-06-30,67.74,$5.37,12.61
2023-03-31,66.31,$5.66,11.72
2022-12-31,68.09,$6.37,10.69
2022-09-30,59.19,$6.57,9.01
2022-06-30,63.02,$6.83,9.23
2022-03-31,81.47,$7.52,10.83
2021-12-31,88.91,$7.82,11.37
2021-09-30,84.91,$7.77,10.93
2021-06-30,89.75,$7.69,11.67
2021-03-31,77.06,$6.26,12.31
2020-12-31,81.51,$2.48,32.87
2020-09-30,75.02,$3.04,24.68
2020-06-30,69.93,$2.53,27.64
2020-03-31,56.96,$3.31,17.21
2019-12-31,94.1,$5.88,16.0
2019-09-30,78.11,$5.89,13.26
2019-06-30,83.07,$6.08,13.66
2019-03-31,85.36,$5.90,14.47
2018-12-31,68.75,$6.04,11.38
2018-09-30,82.66,$6.05,13.66
2018-06-30,90.48,$6.23,14.52
2018-03-31,86.55,$6.22,13.91
2017-12-31,97.3,$6.28,15.49
2017-09-30,81.49,$5.20,15.67
2017-06-30,73.09,$5.09,14.36
2017-03-31,73.46,$5.02,14.63
2016-12-31,70.38,$5.11,13.77
2016-09-30,70.39,$4.74,14.85
2016-06-30,86.14,$4.65,18.52
2016-03-31,84.97,$4.62,18.39
2015-12-31,71.55,$4.52,15.83
2015-09-30,72.66,$4.42,16.44
2015-06-30,85.03,$4.14,20.54
2015-03-31,73.8,$3.94,18.73
2014-12-31,69.51,$3.63,19.15
2014-09-30,61.58,$3.12,19.74
2014-06-30,54.63,$2.86,19.1
2014-03-31,61.38,$2.71,22.65
2013-12-31,56.61,$2.77,20.44
2013-09-30,59.71,$2.80,21.32
2013-06-30,58.14,$2.82,20.62
2013-03-31,44.85,$2.84,15.79
2012-12-31,43.59,$2.69,16.2
2012-09-30,42.17,$2.47,17.07
2012-06-30,41.2,$2.06,20.0
2012-03-31,38.98,$1.93,20.2
2011-12-31,31.18,$1.94,16.07
2011-09-30,23.92,$1.95,12.27
2011-06-30,24.09,$2.20,10.95
2011-03-31,22.42,$2.30,9.75
2010-12-31,23.11,$2.46,9.4
2010-09-30,20.62,$2.42,8.52
2010-06-30,20.56,$2.43,8.46
2010-03-31,23.61,$2.30,10.27
2009-12-31,20.56,$1.87,10.99
