Angel Oak Mortgage REIT PE Ratio Historical Data,Angel Oak Mortgage REIT PE Ratio Historical Data,Angel Oak Mortgage REIT PE Ratio Historical Data,Angel Oak Mortgage REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.81,,3.34
2024-09-30,10.43,$2.94,3.55
2024-06-30,13.1,$1.98,6.62
2024-03-31,10.74,$1.84,5.84
2023-12-31,10.6,$1.35,7.85
2023-09-30,8.53,$-0.16,0.0
2023-06-30,8.24,$-3.89,0.0
2023-03-31,7.3,$-5.87,0.0
2022-12-31,4.73,$-7.66,0.0
2022-09-30,11.98,$-7.18,0.0
2022-06-30,12.58,$-3.53,0.0
2022-03-31,15.4,$-1.27,0.0
