Alarum Technologies PE Ratio Historical Data,Alarum Technologies PE Ratio Historical Data,Alarum Technologies PE Ratio Historical Data,Alarum Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.61,,6.12
2024-09-30,10.64,$1.08,9.85
2024-06-30,41.71,$0.78,53.47
2024-03-31,19.74,$-1.47,0.0
2023-12-31,7.76,$-1.72,0.0
2023-09-30,3.43,$-2.11,0.0
2023-06-30,2.41,$-2.48,0.0
2023-03-31,1.76,$-1.18,0.0
2022-12-31,2.4,$-2.76,0.0
2022-09-30,4.43,$-4.17,0.0
2022-06-30,4.85,$-5.40,0.0
2022-03-31,8.2,$-4.40,0.0
2021-12-31,7.1,$-2.80,0.0
2021-09-30,10.9,$-5.30,0.0
2021-06-30,14.9,$-4.00,0.0
2021-03-31,13.5,$-8.00,0.0
2020-12-31,14.2,$-16.00,0.0
2020-09-30,10.2,$-204.00,0.0
2020-06-30,16.6,$-204.80,0.0
2020-03-31,16.6,$-248.80,0.0
2019-12-31,30.25,$-400.80,0.0
2019-09-30,111.18,$-608.80,0.0
2019-06-30,334.0,"$-1,568.00",0.0
