Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data,Capital One Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,174.47,,15.05
2024-12-31,178.32,$11.59,15.39
2024-09-30,149.24,$10.59,14.09
2024-06-30,137.37,$10.63,12.92
2024-03-31,147.11,$12.77,11.52
2023-12-31,128.98,$11.95,10.79
2023-09-30,94.92,$13.31,7.13
2023-06-30,106.41,$13.06,8.15
2023-03-31,92.91,$14.50,6.41
2022-12-31,89.38,$17.81,5.02
2022-09-30,88.15,$20.19,4.37
2022-06-30,99.09,$22.77,4.35
2022-03-31,124.22,$25.43,4.88
2021-12-31,136.75,$26.84,5.1
2021-09-30,152.08,$26.78,5.68
2021-06-30,144.2,$25.06,5.75
2021-03-31,118.31,$15.23,7.77
2020-12-31,91.61,$5.10,17.96
2020-09-30,66.51,$2.00,33.26
2020-06-30,57.84,$-0.37,0.0
2020-03-31,46.3,$5.08,9.11
2019-12-31,94.13,$11.04,8.53
2019-09-30,82.88,$11.27,7.35
2019-06-30,82.29,$11.57,7.11
2019-03-31,73.76,$12.04,6.13
2018-12-31,67.9,$11.80,5.75
2018-09-30,84.9,$7.15,11.87
2018-06-30,81.85,$6.30,12.99
2018-03-31,84.98,$4.53,18.76
2017-12-31,87.93,$3.45,25.49
2017-09-30,74.41,$7.07,10.53
2017-06-30,72.28,$6.83,10.58
2017-03-31,75.44,$6.58,11.46
2016-12-31,75.6,$6.88,10.99
2016-09-30,61.92,$7.01,8.83
2016-06-30,54.42,$7.09,7.68
2016-03-31,59.05,$6.90,8.56
2015-12-31,61.09,$7.06,8.65
2015-09-30,61.07,$7.21,8.47
2015-06-30,73.72,$7.09,10.4
2015-03-31,65.73,$7.63,8.61
2014-12-31,68.57,$7.59,9.03
2014-09-30,67.55,$7.31,9.24
2014-06-30,68.1,$7.31,9.32
2014-03-31,63.36,$7.14,8.87
2013-12-31,62.64,$6.97,8.99
2013-09-30,55.96,$6.93,8.08
2013-06-30,50.92,$7.08,7.19
2013-03-31,44.32,$5.37,8.25
2012-12-31,46.68,$6.30,7.41
2012-09-30,45.9,$5.77,7.96
2012-06-30,43.97,$5.53,7.95
2012-03-31,44.8,$7.34,6.1
2011-12-31,33.95,$6.83,4.97
2011-09-30,31.78,$7.47,4.25
2011-06-30,41.38,$7.46,5.55
2011-03-31,41.58,$6.82,6.1
2010-12-31,34.02,$6.01,5.66
2010-09-30,31.58,$5.32,5.94
2010-06-30,32.14,$4.50,7.14
2010-03-31,32.98,$2.52,13.09
2009-12-31,30.49,$0.67,45.51
