Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,274.62,,19.07
2024-12-31,239.61,$14.40,16.64
2024-09-30,253.66,$13.76,18.43
2024-06-30,207.53,$11.68,17.77
2024-03-31,206.54,$9.77,21.14
2023-12-31,158.27,$6.58,24.05
2023-09-30,138.32,$4.61,30.0
2023-06-30,131.34,$2.92,44.98
2023-03-31,141.85,$1.41,100.6
2022-12-31,128.52,$1.18,108.91
2022-09-30,115.05,$1.41,81.59
2022-06-30,115.01,$1.40,82.15
2022-03-31,112.66,$3.68,30.61
2021-12-31,101.35,$5.67,17.88
2021-09-30,87.85,$6.89,12.75
2021-06-30,95.35,$9.29,10.26
2021-03-31,92.73,$10.99,8.44
2020-12-31,91.46,$9.65,9.48
2020-09-30,87.47,$8.61,10.16
2020-06-30,73.93,$7.44,9.94
2020-03-31,68.05,$6.06,11.23
2019-12-31,64.63,$6.72,9.62
2019-09-30,68.88,$5.35,12.87
2019-06-30,71.18,$5.50,12.94
2019-03-31,64.11,$5.03,12.75
2018-12-31,53.65,$4.42,12.14
2018-09-30,63.18,$4.96,12.74
2018-06-30,52.6,$3.77,13.95
2018-03-31,54.19,$3.21,16.88
2017-12-31,49.06,$2.72,18.04
2017-09-30,42.18,$2.40,17.57
2017-06-30,38.4,$2.36,16.27
2017-03-31,34.13,$2.06,16.57
2016-12-31,30.36,$1.77,17.15
2016-09-30,26.94,$1.67,16.13
2016-06-30,28.65,$1.80,15.92
2016-03-31,30.05,$2.09,14.38
2015-12-31,26.43,$2.15,12.29
2015-09-30,25.46,$2.22,11.47
2015-06-30,23.13,$2.25,10.28
2015-03-31,22.6,$2.12,10.66
2014-12-31,21.85,$2.16,10.12
2014-09-30,20.47,$2.03,10.08
2014-06-30,20.53,$1.92,10.69
2014-03-31,19.61,$1.97,9.95
2013-12-31,20.74,$1.94,10.69
2013-09-30,20.71,$1.85,11.19
2013-06-30,19.33,$1.92,10.07
2013-03-31,19.22,$1.57,12.24
2012-12-31,15.85,$1.48,10.71
2012-09-30,14.89,$1.49,9.99
2012-06-30,14.95,$1.27,11.77
2012-03-31,16.64,$1.46,11.39
2011-12-31,13.73,$1.59,8.63
2011-09-30,12.5,$1.62,7.71
2011-06-30,15.04,$1.78,8.45
2011-03-31,14.87,$1.72,8.64
2010-12-31,13.71,$1.61,8.51
2010-09-30,13.7,$1.62,8.46
2010-06-30,12.29,$1.62,7.59
2010-03-31,12.53,$1.67,7.5
2009-12-31,11.7,$1.58,7.4
